,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,麥當勞 (S347 二林斗苑店),jz50,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,4.181421910017813,680
1,五路鍋聖 (彰化二林店),m7pi,2,"['火鍋', '台式']",False,19.0,79.0,35.0,15.0,4.610437014966462,1408
2,三商巧福 (4336二林店),g9by,2,"['麵食', '台式']",False,19.0,79.0,35.0,15.0,4.364511699624523,637
3,達美樂 (二林仁愛店),s8yp,3,"['披薩', '歐美']",False,30.0,199.0,40.0,25.0,4.63387806522303,421
4,食神滷味 (二林斗苑店),xyig,1,"['火鍋', '小吃']",False,19.0,79.0,30.0,15.0,4.2141997905448,0
5,咕咕雞早餐店,veqb,1,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,4.181547290745651,20
6,美麗早餐店,i7ut,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.148393112399556,339
7,早安美芝城 (二林仁愛概念店),etvt,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.649858888882904,676
8,饕客食堂,uk5m,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,4.606433078960125,72
9,五路鍋聖 (彰化二林店),m7pi,2,"['火鍋', '台式']",False,19.0,79.0,35.0,15.0,4.610437014966462,1408
10,三商巧福 (4336二林店),g9by,2,"['麵食', '台式']",False,19.0,79.0,35.0,15.0,4.364511699624523,637
11,達美樂 (二林仁愛店),s8yp,3,"['披薩', '歐美']",False,30.0,199.0,40.0,25.0,4.63387806522303,421
12,食神滷味 (二林斗苑店),xyig,1,"['火鍋', '小吃']",False,19.0,79.0,30.0,15.0,4.2141997905448,0
13,咕咕雞早餐店,veqb,1,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,4.181547290745651,20
14,美麗早餐店,i7ut,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.148393112399556,339
15,早安美芝城 (二林仁愛概念店),etvt,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.649858888882904,676
16,饕客食堂,uk5m,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,4.606433078960125,72
