,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,先喝道 (彰化社頭店),h6a9,2,['飲料'],False,19.0,79.0,10.0,5.0,0.9132448981102768,115
1,阿仁海鮮粥,l2ac,1,"['湯品', '粥', '台式']",False,19.0,79.0,10.0,5.0,0.9400246124006689,856
2,50嵐 (彰化社頭店),x5fd,2,['飲料'],False,19.0,79.0,10.0,5.0,0.9286726298258877,3195
3,食神滷味 (彰化社頭店),g0ur,2,['小吃'],False,19.0,79.0,10.0,5.0,0.946939159552919,560
4,𩵚魠熱炒,fcd0,2,['台式'],False,19.0,79.0,10.0,5.0,1.1573518052142098,97
5,蕭記蚵仔煎,m6sy,2,['台式'],False,19.0,79.0,10.0,5.0,0.9508778707144572,948
6,迷客夏 Milksha (彰化社頭店),sp2n,2,['飲料'],False,19.0,79.0,10.0,5.0,0.8661544849205887,221
7,幹嘛辣麻辣燙,hrbs,2,['小吃'],False,19.0,79.0,10.0,5.0,0.8653092522664885,47
8,大苑子 (社頭店),o2vj,2,['飲料'],False,19.0,79.0,10.0,5.0,1.125487692625133,1796
9,清原芋圓 (彰化社頭店),t0nz,1,['甜點'],False,19.0,79.0,10.0,5.0,0.9060513637609476,754
10,麥當勞 (S236 田中中正店),m5on,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,3.3211965389964964,5035
11,胖老爹美式炸雞 (彰化社頭店),p1dl,2,"['歐美', '炸雞']",False,19.0,79.0,20.0,15.0,0.8619556676854775,521
12,大回香鹹酥雞 (彰化社頭店),gsm4,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,1.1294615162315615,9
13,鄉間小辣,fkbp,2,"['火鍋', '台式']",False,19.0,79.0,20.0,15.0,0.939843827892713,17
14,社頭可樂爸爸 (社頭店),x9lv,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,15.0,1.0406409309043418,585
15,清玉 (彰化社頭店),j6yh,1,['飲料'],False,19.0,79.0,10.0,5.0,0.9675366417654525,532
16,水云茶堂阿里山鐵道紅茶 (彰化社頭店),unmi,2,['飲料'],False,19.0,79.0,10.0,5.0,1.1209980800214383,198
17,吳家紅茶冰 (彰化社頭店),ohip,1,['飲料'],False,19.0,79.0,10.0,5.0,1.2856831921222345,384
18,阿冰師紅茶冰（重量杯專賣）,t63h,2,['飲料'],False,19.0,79.0,10.0,5.0,1.1610467812463081,261
19,上純炸雞店,m0oy,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,3.457417998107967,1005
20,吳家魷魚焿,x0ps,1,"['麵食', '台式']",False,19.0,79.0,10.0,5.0,0.9972658768790627,106
21,摩斯漢堡Mos Burger (高鐵彰化店),ms3j,2,"['漢堡', '日式']",False,19.0,79.0,25.0,15.0,2.1013759552620783,911
22,成功牛排 (彰化田中店),o7wv,2,"['台式', '牛排']",False,19.0,79.0,15.0,5.0,2.859619691377555,683
23,十味香雞排,r9de,1,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,3.430877911001401,785
24,協力旺炸雞 (彰化山腳路店),w46f,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,2.269881859452229,21
25,皇阿馬烤肉 (彰化田中店),m5ov,2,['小吃'],False,19.0,79.0,20.0,10.0,3.151129803489595,357
26,上品香豆花,tciq,1,['甜點'],False,19.0,79.0,20.0,15.0,1.14469590388241,222
27,珠姐烏骨雞熱炒,jjao,2,['台式'],False,19.0,79.0,15.0,5.0,1.7939399747336169,13
28,田中泉成冰果室 (複合式餐飲),k2ke,1,"['便當', '台式']",False,19.0,79.0,20.0,10.0,3.4482672714900806,881
29,讚不絕口風味小火鍋 (彰化田中店),k6be,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,3.208309822297157,964
30,來一鍋,kitw,2,"['湯品', '火鍋', '台式']",False,19.0,79.0,30.0,20.0,2.9625233662392056,87
31,二水黑糖冰、小火鍋,h1uq,1,"['甜點', '火鍋', '台式']",False,19.0,79.0,10.0,5.0,0.9541777299081113,149
32,一鍵鐵板燒,hcww,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,10.0,3.435266023507894,150
33,紅茶站,c6zp,1,['飲料'],False,19.0,79.0,20.0,5.0,3.4077741579196696,323
34,轟炸雞 (大象茶舖社頭店),o9el,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,3.7718684408941283,418
35,老先覺功夫窯燒鍋 (彰化田中MiNi店),l5bw,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,3.36270763912943,605
36,吮指王 (田中中南店),v8yl,2,"['台式', '炸雞']",False,19.0,79.0,20.0,10.0,4.425892306129934,551
37,角間串燒啤酒屋,pxdd,2,['台式'],False,19.0,79.0,30.0,15.0,3.9909151859261,226
38,達美樂 (田中員集店),q6xo,3,"['披薩', '歐美']",False,30.0,199.0,35.0,25.0,3.4057391467862543,451
39,柇本石鍋,n020,2,"['火鍋', '台式']",False,19.0,79.0,40.0,30.0,3.249898768393813,30
40,憶家鍋物,iq67,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.9964868880775,37
41,清心福全 (彰化社斗店),o6sl,1,['飲料'],False,19.0,79.0,10.0,5.0,0.8641224614257895,1139
42,美式早餐屋 田中店,uv99,1,"['小吃', '炸雞']",False,19.0,79.0,40.0,15.0,3.945375526937818,234
43,乾杯串燒,s9tk,2,['小吃'],False,19.0,79.0,40.0,15.0,3.5178169510235735,97
44,老趙手路,x1iq,1,['台式'],False,19.0,79.0,40.0,15.0,1.2401013729350492,601
45,社頭-彰化素食,m9rt,1,"['湯品', '麵食', '素食']",True,19.0,79.0,40.0,15.0,1.0636509083461867,731
46,早安美芝城 (社頭社斗概念店),rsf5,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,0.9212753337598869,623
47,手御飯,fy5j,1,['台式'],False,19.0,79.0,40.0,15.0,1.3643175368105755,12
48,阿仁海鮮粥,l2ac,1,"['湯品', '粥', '台式']",False,19.0,79.0,10.0,5.0,0.9400246124006689,856
49,50嵐 (彰化社頭店),x5fd,2,['飲料'],False,19.0,79.0,10.0,5.0,0.9286726298258877,3195
50,食神滷味 (彰化社頭店),g0ur,2,['小吃'],False,19.0,79.0,10.0,5.0,0.946939159552919,560
51,𩵚魠熱炒,fcd0,2,['台式'],False,19.0,79.0,10.0,5.0,1.1573518052142098,97
52,蕭記蚵仔煎,m6sy,2,['台式'],False,19.0,79.0,10.0,5.0,0.9508778707144572,948
53,迷客夏 Milksha (彰化社頭店),sp2n,2,['飲料'],False,19.0,79.0,10.0,5.0,0.8661544849205887,221
54,幹嘛辣麻辣燙,hrbs,2,['小吃'],False,19.0,79.0,10.0,5.0,0.8653092522664885,47
55,大苑子 (社頭店),o2vj,2,['飲料'],False,19.0,79.0,10.0,5.0,1.125487692625133,1796
56,清原芋圓 (彰化社頭店),t0nz,1,['甜點'],False,19.0,79.0,10.0,5.0,0.9060513637609476,754
57,麥當勞 (S236 田中中正店),m5on,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,3.3211965389964964,5035
58,胖老爹美式炸雞 (彰化社頭店),p1dl,2,"['歐美', '炸雞']",False,19.0,79.0,20.0,15.0,0.8619556676854775,521
59,大回香鹹酥雞 (彰化社頭店),gsm4,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,1.1294615162315615,9
60,鄉間小辣,fkbp,2,"['火鍋', '台式']",False,19.0,79.0,20.0,15.0,0.939843827892713,17
61,社頭可樂爸爸 (社頭店),x9lv,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,15.0,1.0406409309043418,585
62,清玉 (彰化社頭店),j6yh,1,['飲料'],False,19.0,79.0,10.0,5.0,0.9675366417654525,532
63,水云茶堂阿里山鐵道紅茶 (彰化社頭店),unmi,2,['飲料'],False,19.0,79.0,10.0,5.0,1.1209980800214383,198
64,吳家紅茶冰 (彰化社頭店),ohip,1,['飲料'],False,19.0,79.0,10.0,5.0,1.2856831921222345,384
65,阿冰師紅茶冰（重量杯專賣）,t63h,2,['飲料'],False,19.0,79.0,10.0,5.0,1.1610467812463081,261
66,上純炸雞店,m0oy,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,3.457417998107967,1005
67,吳家魷魚焿,x0ps,1,"['麵食', '台式']",False,19.0,79.0,10.0,5.0,0.9972658768790627,106
68,摩斯漢堡Mos Burger (高鐵彰化店),ms3j,2,"['漢堡', '日式']",False,19.0,79.0,25.0,15.0,2.1013759552620783,911
69,成功牛排 (彰化田中店),o7wv,2,"['台式', '牛排']",False,19.0,79.0,15.0,5.0,2.859619691377555,683
70,十味香雞排,r9de,1,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,3.430877911001401,785
71,協力旺炸雞 (彰化山腳路店),w46f,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,2.269881859452229,21
72,皇阿馬烤肉 (彰化田中店),m5ov,2,['小吃'],False,19.0,79.0,20.0,10.0,3.151129803489595,357
73,上品香豆花,tciq,1,['甜點'],False,19.0,79.0,20.0,15.0,1.14469590388241,222
74,珠姐烏骨雞熱炒,jjao,2,['台式'],False,19.0,79.0,15.0,5.0,1.7939399747336169,13
75,田中泉成冰果室 (複合式餐飲),k2ke,1,"['便當', '台式']",False,19.0,79.0,20.0,10.0,3.4482672714900806,881
76,讚不絕口風味小火鍋 (彰化田中店),k6be,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,3.208309822297157,964
77,來一鍋,kitw,2,"['湯品', '火鍋', '台式']",False,19.0,79.0,30.0,20.0,2.9625233662392056,87
78,二水黑糖冰、小火鍋,h1uq,1,"['甜點', '火鍋', '台式']",False,19.0,79.0,10.0,5.0,0.9541777299081113,149
79,一鍵鐵板燒,hcww,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,10.0,3.435266023507894,150
80,紅茶站,c6zp,1,['飲料'],False,19.0,79.0,20.0,5.0,3.4077741579196696,323
81,轟炸雞 (大象茶舖社頭店),o9el,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,3.7718684408941283,418
82,老先覺功夫窯燒鍋 (彰化田中MiNi店),l5bw,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,3.36270763912943,605
83,吮指王 (田中中南店),v8yl,2,"['台式', '炸雞']",False,19.0,79.0,20.0,10.0,4.425892306129934,551
84,角間串燒啤酒屋,pxdd,2,['台式'],False,19.0,79.0,30.0,15.0,3.9909151859261,226
85,達美樂 (田中員集店),q6xo,3,"['披薩', '歐美']",False,30.0,199.0,35.0,25.0,3.4057391467862543,451
86,柇本石鍋,n020,2,"['火鍋', '台式']",False,19.0,79.0,40.0,30.0,3.249898768393813,30
87,憶家鍋物,iq67,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.9964868880775,37
88,清心福全 (彰化社斗店),o6sl,1,['飲料'],False,19.0,79.0,10.0,5.0,0.8641224614257895,1139
89,美式早餐屋 田中店,uv99,1,"['小吃', '炸雞']",False,19.0,79.0,40.0,15.0,3.945375526937818,234
90,乾杯串燒,s9tk,2,['小吃'],False,19.0,79.0,40.0,15.0,3.5178169510235735,97
91,老趙手路,x1iq,1,['台式'],False,19.0,79.0,40.0,15.0,1.2401013729350492,601
92,社頭-彰化素食,m9rt,1,"['湯品', '麵食', '素食']",True,19.0,79.0,40.0,15.0,1.0636509083461867,731
93,早安美芝城 (社頭社斗概念店),rsf5,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,0.9212753337598869,623
94,手御飯,fy5j,1,['台式'],False,19.0,79.0,40.0,15.0,1.3643175368105755,12
95,麥味登 (彰化社頭店),ecb4,2,['台式'],False,19.0,79.0,40.0,15.0,0.3120248387577809,153
96,喬大米捲餅店,l3lx,2,['台式'],False,19.0,79.0,40.0,15.0,0.9489267674750279,502
97,弘爺漢堡 (彰化田中店),t0dr,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.9048456563441074,361
98,夏一跳中西式早餐店,r4mh,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,2.6969828364058834,629
99,星晨食坊,ocjq,1,['台式'],False,19.0,79.0,40.0,15.0,3.4900005297801333,140
100,唯克咖啡輕食 (彰化社頭店),o0mt,1,"['咖啡', '歐美']",False,19.0,79.0,40.0,15.0,1.151608882855928,1524
101,田尾麵店,j803,2,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,3.5987179577109183,122
102,幸福稻飯丸 (彰化田中店),i9sp,1,"['早餐', '小吃']",False,19.0,79.0,40.0,15.0,3.320734986357819,353
103,貴州妹飯糰,da0j,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,0.8731971993680705,142
104,城市漢堡 (田中中州店),kll8,2,"['早餐', '台式']",True,19.0,79.0,40.0,15.0,3.5850682671871628,616
105,鄉村漢堡,has8,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.184853981388601,107
106,呂記小籠湯包&金富美早餐店,hu57,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,1.2491945893272662,114
107,微笑71,c3hh,1,['台式'],False,19.0,79.0,40.0,15.0,3.3136979836922755,596
108,麥軒活力站,g6tl,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.9001678612479798,529
109,吃得巧海苔飯捲 (彰化田中店),h1zg,1,['台式'],False,19.0,79.0,40.0,15.0,3.45374177592014,100
110,太覓 (彰化社頭店),ufj0,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,1.5687480306267378,123
111,漫步藍咖啡 (彰化田中店),zub0,2,"['咖啡', '蛋糕', '歐美']",False,19.0,79.0,40.0,15.0,3.121590832219,178
112,王爺宮後米苔目,whi9,1,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,3.1329283853321885,282
