,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,美國炸雞王,bkae,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,15.0,4.167262155918136,179
1,達美樂 (田中員集店),q6xo,3,"['披薩', '歐美']",False,30.0,199.0,40.0,25.0,5.077754123430482,451
2,清心福全 (北斗中州店),j2wn,1,['飲料'],False,19.0,79.0,20.0,5.0,3.8664221975118584,664
3,弘爺漢堡 (田中新民店),h8hd,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.723247345805681,765
4,早安美芝城 (田中活力中州店),tc0z,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.863926892802702,884
5,傻師傅湯包 (田中工業店),zkz2,2,"['麵食', '台式', '餃子']",False,19.0,79.0,40.0,15.0,3.9430839263400204,32
6,老田庄楊桃汁 (田中工業區店),hpne,2,['飲料'],False,19.0,79.0,40.0,15.0,3.946890575062725,8
7,吳家紅茶冰 (田中梅州店),c4gb,1,['飲料'],False,19.0,79.0,40.0,15.0,4.248232659169684,266
8,達美樂 (田中員集店),q6xo,3,"['披薩', '歐美']",False,30.0,199.0,40.0,25.0,5.077754123430482,451
9,清心福全 (北斗中州店),j2wn,1,['飲料'],False,19.0,79.0,20.0,5.0,3.8664221975118584,664
10,弘爺漢堡 (田中新民店),h8hd,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.723247345805681,765
11,早安美芝城 (田中活力中州店),tc0z,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.863926892802702,884
12,傻師傅湯包 (田中工業店),zkz2,2,"['麵食', '台式', '餃子']",False,19.0,79.0,40.0,15.0,3.9430839263400204,32
13,老田庄楊桃汁 (田中工業區店),hpne,2,['飲料'],False,19.0,79.0,40.0,15.0,3.946890575062725,8
14,吳家紅茶冰 (田中梅州店),c4gb,1,['飲料'],False,19.0,79.0,40.0,15.0,4.248232659169684,266
