,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (南投埔里店),d5wx,2,"['披薩', '歐美']",False,19.0,79.0,10.0,10.0,0.5661796687653479,2727
1,喬治派克 (埔里中正店),b4fj,1,['飲料'],False,19.0,79.0,10.0,5.0,0.4417991814928319,1722
2,好喝不胖,avnt,1,['甜點'],False,9.0,79.0,10.0,10.0,0.47320345829540245,22
3,樂卓手搖飲,lkds,1,['飲料'],False,19.0,79.0,10.0,5.0,0.8200430823268475,285
4,阿娘喂!廖老大茶坊連鎖 (埔里西寧店),shbq,1,['飲料'],False,9.0,79.0,15.0,10.0,0.9592185399667973,8
5,雨傘店 阿川麵店 三十年老店,oid7,2,"['湯品', '麵食', '台式']",False,19.0,79.0,10.0,5.0,0.9798577297796687,473
6,台南口味虱目魚肉燥飯,d3ry,2,"['便當', '台式']",False,9.0,79.0,10.0,5.0,0.3424426719402307,783
7,麥當勞 (S303 埔里信義店),l8jh,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,1.77212350590738,12160
8,四海遊龍 (南投埔里店),d7th,2,"['台式', '餃子']",False,19.0,79.0,10.0,5.0,0.6131235923881581,3351
9,可不可熟成紅茶 (南投埔里店),u5qy,1,['飲料'],False,19.0,79.0,10.0,5.0,0.44765835146642075,3314
10,日本食事,m7kb,2,"['麵食', '日式']",False,19.0,79.0,10.0,5.0,0.18979728260879059,1108
11,食神滷味 (埔里中山店),b3ug,2,['小吃'],False,19.0,79.0,10.0,5.0,0.553030156797731,1235
12,大仁鍋貼,i3lr,2,"['湯品', '麵食', '台式']",False,9.0,79.0,10.0,10.0,0.1814379479156119,295
13,迷客夏 Milksha (南投埔里店),e4sb,2,['飲料'],False,19.0,79.0,10.0,5.0,0.4928501015856632,2263
14,小醬.古早麵.臭豆腐 (埔里總店),b3vt,2,"['麵食', '台式']",False,9.0,79.0,20.0,20.0,0.43231347286631905,4957
15,大苑子 (埔里店),b9yg,2,['飲料'],False,19.0,79.0,10.0,5.0,0.5623418200108945,2947
16,玖玖牛排美食館,d7wa,2,"['歐美', '牛排']",False,9.0,79.0,10.0,10.0,0.5305022509562869,2570
17,源士林粥品 (南投埔里店),ysbc,1,"['粥', '台式']",False,19.0,79.0,10.0,5.0,0.3728737750795078,884
18,尚好佳平價快炒,hdi0,2,['台式'],False,9.0,79.0,10.0,5.0,0.8147765647475735,140
19,第三市場台灣第一家 （40年老店）塩酥雞,hzlh,2,"['小吃', '炸雞']",False,19.0,79.0,10.0,5.0,0.32822595237468977,134
20,犁田鹹酥雞 (南投埔里總店),n1em,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,25.0,0.6551907300114002,3086
21,胖老爹美式炸雞 (埔里中山店),d7ec,2,"['歐美', '炸雞']",False,19.0,79.0,15.0,15.0,0.5466015812583497,2555
22,可口美清粥小菜,uus6,1,"['便當', '粥', '台式']",False,19.0,79.0,10.0,5.0,0.5516104698318972,303
23,犁田鹹酥雞 (埔里中山店),d1us,2,"['小吃', '炸雞']",False,19.0,79.0,10.0,5.0,1.0139104664398988,2723
24,NU PASTA (南投埔里店),b9ms,2,"['歐美', '麵食']",False,19.0,79.0,10.0,5.0,0.5547871115830091,1254
25,晨吉司漢肉排蛋吐司 (南投埔里店),g5hf,2,"['台式', '三明治 / 吐司']",False,19.0,79.0,10.0,5.0,0.12454462060152076,1150
26,京京滷味 (南投埔里店),ab2o,2,['小吃'],False,19.0,79.0,10.0,5.0,0.566451310800096,375
27,大埔鐵板燒 (埔里中正店),f1o8,2,"['鐵板燒', '台式']",False,19.0,79.0,10.0,5.0,0.7168946100870301,611
28,鶴茶樓 (南投埔里店),c3mq,1,['飲料'],False,9.0,79.0,10.0,5.0,0.40587063416068453,266
29,品恩香雞排,c0bh,1,"['小吃', '炸雞']",False,9.0,79.0,10.0,5.0,1.0085980104712653,1001
30,炸鷄大獅 (埔里中山店),rxmt,2,"['小吃', '炸雞']",False,19.0,79.0,10.0,5.0,0.5983924338527361,845
31,ㄠㄠ手作茶 (南投埔里總店),fp61,1,['飲料'],False,9.0,79.0,10.0,5.0,0.6556522943037844,204
32,金碗吃雞- 鹽水雞,c1ds,2,['小吃'],False,19.0,79.0,10.0,5.0,0.5526178593780112,434
33,85度C (埔里中正店),t3xx,1,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,10.0,5.0,0.14138256687541675,573
34,第三市場上好牛排,kzss,2,"['麵食', '台式', '牛排']",False,9.0,79.0,10.0,5.0,0.28524469775619454,19
35,風船章魚燒 (南投埔里店),h6gm,1,['日式'],False,19.0,79.0,10.0,5.0,0.5517870072070166,624
36,八方雲集 (埔里中山店),bsna,2,"['台式', '餃子']",True,19.0,79.0,15.0,10.0,1.0943534812660307,609
37,月見山沙威瑪 (南投埔里店),b3dv,1,['異國'],False,19.0,79.0,10.0,10.0,0.3015256075747679,719
38,娘子醬燒-南投烤肉串燒店 (南投埔里店),y10a,2,['台式'],False,19.0,79.0,10.0,5.0,0.5547159432972004,577
39,第三市場 余鹹酥雞,kwfg,2,"['小吃', '炸雞']",False,9.0,79.0,10.0,5.0,0.3114377723163435,17
40,康青龍 (埔里中正店),j1jr,2,['飲料'],False,19.0,79.0,10.0,5.0,0.3382320166318328,1033
41,八德夜市關東煮,i0df,2,['日式'],False,19.0,79.0,10.0,5.0,1.191949657063017,263
42,珍煮丹 (南投埔里店),kefi,2,['飲料'],False,9.0,79.0,10.0,5.0,1.4629814697781058,1106
43,第三市場魏家豬腳,z88c,1,"['便當', '台式']",False,19.0,79.0,10.0,5.0,0.28747083850021704,108
44,六扇門 (南投埔里店),gky7,2,"['火鍋', '台式']",False,9.0,79.0,20.0,15.0,1.1630703816948396,703
45,韓大姐,fs98,2,['韓式'],False,19.0,79.0,10.0,5.0,0.7404229673788791,201
46,微笑食堂,ymuu,2,['台式'],False,19.0,79.0,10.0,5.0,1.2844434115363974,66
47,芭樂先生 (南投埔里店),nsy3,1,['甜點'],False,19.0,79.0,10.0,5.0,0.33727245104694936,280
48,喬治派克 (埔里中正店),b4fj,1,['飲料'],False,19.0,79.0,10.0,5.0,0.4417991814928319,1722
49,好喝不胖,avnt,1,['甜點'],False,9.0,79.0,10.0,10.0,0.47320345829540245,22
