,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,老賴茶棧 (彰化北斗店),c4vc,1,['飲料'],True,19.0,79.0,20.0,5.0,3.9267534928417214,1244
1,肯德基KFC炸雞漢堡店 (彰化北斗店),i30c,2,"['甜點', '漢堡', '歐美', '炸雞']",False,19.0,79.0,20.0,5.0,3.642189534469442,274
2,喫茶小舖 (彰化北斗店),znff,2,['飲料'],False,19.0,79.0,20.0,5.0,3.6958285900655445,72
3,喔一嘻日本料理,iibg,2,['日式'],False,19.0,79.0,25.0,10.0,4.191755674580821,320
4,小雞大雞排 (彰化溪州店),u1qh,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.8171982409976558,1022
5,麥當勞 (S467 北斗中山店),v3vz,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,3.753704943276398,6879
6,一方軒,o55b,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,3.9745204478298173,506
7,龍鹹酥雞 (北斗總店),tr0z,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,3.6508519007526283,243
8,大滷桶魯味 (彰化北斗店),t1rb,2,['小吃'],False,19.0,79.0,20.0,5.0,3.576540922218798,1550
9,饗樂鐵板燒,m8ia,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,10.0,3.5282001497467066,1814
10,熊悟道日式滷味,m8be,2,['日式'],False,19.0,79.0,20.0,10.0,3.7488496097094717,1257
11,50嵐 (彰化北斗店),u6ct,1,['飲料'],True,19.0,79.0,20.0,5.0,4.0761104784023825,1143
12,台灣雙醬咖哩 (彰化北斗店),mwwj,2,"['咖哩', '日式']",False,19.0,79.0,20.0,5.0,3.5902980538974574,193
13,Pizza Hut必勝客 (彰化北斗店),u7ck,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,3.91777837297663,1163
14,可不可熟成紅茶 (彰化北斗店),i7fd,1,['飲料'],False,19.0,79.0,20.0,5.0,4.013000708831265,1945
15,八家醬鍋爆,x7sn,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,3.5840771861365557,1155
