,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,鮮茶道 (佳里新生店),p4lc,2,['飲料'],False,19.0,79.0,20.0,5.0,3.120132579815736,711
1,圓石禪飲 (台南佳里店),bspw,1,['飲料'],False,19.0,79.0,20.0,5.0,2.8428776509897578,79
2,鮮茶道 (佳里光復店),i4jx,2,['飲料'],False,19.0,79.0,20.0,5.0,2.7575592746012436,601
3,三分春色 (佳里光復店),gyh2,2,['飲料'],False,19.0,79.0,20.0,5.0,2.8362561660838295,104
4,詠伯小館,g6sj,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.9983946839730558,2566
5,麥當勞 (S230 台南佳里店),d0d6,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,3.2605009028984058,1406
6,老夫子牛肉麵 (台南佳里店),m5wm,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,2.9972430434234534,2120
7,吮指王KING (台南佳里店),itgl,2,"['台式', '炸雞']",False,19.0,79.0,20.0,5.0,3.0548366343783075,281
8,九湯屋日式拉麵 (台南佳里店),g4oe,2,"['麵食', '日式']",True,19.0,79.0,20.0,5.0,2.995182475486319,858
9,品豪複合式餐飲,uabi,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,2.7243439878421887,429
10,胖老爹美式炸雞 (台南佳里店),t4bt,2,"['歐美', '炸雞']",False,19.0,79.0,25.0,10.0,2.9881394330451565,1660
11,識好茶 (台南佳里店),pd2r,2,['飲料'],False,19.0,79.0,20.0,5.0,2.9670761555578933,176
12,Tea's原味 (佳里光復店),n1ox,1,['飲料'],False,19.0,79.0,20.0,5.0,2.7801907868657163,628
13,拿坡里 (佳里店8437),jcnl,3,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,3.0011083868183652,58
14,Pizza Hut必勝客 (台南佳里店),i2kp,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,2.994386380588209,1457
15,可不可熟成紅茶 (台南佳里店),r5ug,1,['飲料'],False,19.0,79.0,20.0,5.0,3.300572082729547,3360
16,在地人鹽水雞 (台南佳里店),apn5,2,['小吃'],False,19.0,79.0,20.0,5.0,3.2217676552221066,565
17,御品紅豆,q2gp,1,['甜點'],False,19.0,79.0,20.0,5.0,2.9191995821694907,666
18,吳師傅滷味 (台南佳里店),g8nl,2,['小吃'],False,19.0,79.0,20.0,5.0,3.2696030875629205,441
19,宥仔鹹酥雞,l6wo,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,3.1918926813359296,213
20,發仔食堂,vedp,2,"['麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,20.0,10.0,2.8240349652711823,14
21,阿三仔冰店,x2nr,1,['甜點'],False,19.0,79.0,20.0,5.0,2.8313097104133207,1077
22,麻古茶坊 (佳里延平店),a67p,2,['飲料'],False,19.0,79.0,20.0,5.0,3.052184779934515,191
23,來佰億香菇肉焿,vixb,1,"['麵食', '台式']",False,19.0,79.0,20.0,5.0,3.5043650387536904,681
24,那間閒水雞,q3qk,2,['小吃'],False,19.0,79.0,20.0,5.0,2.8453732971519257,401
25,大苑子 (佳里延平店),t7rl,2,['飲料'],False,19.0,79.0,20.0,5.0,3.3250231205475584,1453
26,豪讚海產粥,ii4t,2,['台式'],False,19.0,79.0,20.0,5.0,3.591262457774234,66
27,鍋就好臭臭鍋 (台南佳里店),g3mu,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,3.2034005952837243,1011
