,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (台南新化店),l5ot,2,"['披薩', '歐美']",False,9.0,79.0,20.0,10.0,0.8321208361082425,866
1,古丁原味品茶館 (台南新化店),d55u,1,['飲料'],False,9.0,79.0,20.0,5.0,0.9934840549630777,809
2,鶴茶樓 (永康永明店),k9h4,2,['飲料'],False,19.0,79.0,25.0,5.0,4.251950639854845,1121
3,淳菊堂 菊花。茶飲專賣店,xskr,1,['飲料'],False,19.0,79.0,25.0,5.0,4.230332648758268,330
4,三媽臭臭鍋 (台南新化店),wf5g,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,0.9721391765663681,869
5,黃記米糕店,t6jp,2,"['湯品', '麵食', '小吃']",False,9.0,79.0,20.0,5.0,0.8866132583639522,387
6,麻古茶坊 (台南新化店),oxsp,2,['飲料'],False,9.0,79.0,20.0,5.0,0.9812743353342789,702
7,藝鍋物 (台南新化店),rfq6,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,1.219488302656933,657
8,迷客夏 Milksha (臺南新化店),j2bs,2,['飲料'],False,19.0,79.0,20.0,5.0,1.0610664871617306,664
9,老二鹽水雞 (台南新化店),ka48,2,['小吃'],False,19.0,79.0,20.0,5.0,0.7691883875724121,10
10,可不可熟成紅茶 (台南新化店),ktxa,1,['飲料'],False,9.0,79.0,20.0,5.0,0.8985389705955432,292
11,識好茶 (台南新化店),u7h7,2,['飲料'],False,19.0,79.0,20.0,5.0,0.8408995505360832,63
12,金凱鐵板燒,t1em,2,"['鐵板燒', '台式']",False,19.0,79.0,25.0,15.0,1.1361201856104899,525
13,吳家紅茶冰 (新化中山店),t8gt,1,['飲料'],False,19.0,79.0,20.0,5.0,0.8989027500793617,502
14,紅家莊複合式餐飲,i4zq,2,['台式'],False,9.0,79.0,20.0,5.0,0.9146954145310529,44
15,大苑子 (台南新化店),u6jn,2,['飲料'],False,9.0,79.0,20.0,5.0,1.0200672538010924,733
16,金味鮮海鮮飯湯鍋燒專賣,ca7f,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,3.6407742274219337,162
17,麥當勞 (S218 永康中山店),s2sq,2,"['漢堡', '歐美']",False,19.0,79.0,30.0,10.0,4.758051448565395,8051
18,京都豚骨拉麵 (東賓茗茶),l9vz,2,"['麵食', '台式']",False,19.0,79.0,30.0,20.0,0.8550323689008658,649
19,鍋就好臭臭鍋 (台南新化店),fo1f,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,1.1554814406392129,484
20,新化品味臭臭鍋(香炸臭豆腐&鍋燒),k7kr,2,"['麵食', '火鍋', '台式']",False,9.0,79.0,25.0,15.0,0.9174421400412179,428
