,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (嘉義吳鳳南店),jezr,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,2.53241820884854,1724
1,清心福全 (嘉義仁愛店),a9xh,1,['飲料'],False,19.0,79.0,20.0,5.0,3.8538640196342135,1413
2,光華愛玉,a7ow,1,['甜點'],True,19.0,79.0,20.0,5.0,3.864668301642144,965
3,方櫃仔魯味 (嘉義文化路總店),z7et,1,['小吃'],True,19.0,79.0,20.0,5.0,3.867205945227716,3754
4,樂檸漢堡 (嘉義中山市府門市),a6zh,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,5.0,4.256016579457731,5423
5,二丫頭麻辣涼麵,z4ss,2,"['湯品', '麵食', '台式']",True,19.0,79.0,20.0,5.0,3.7884267220350414,1540
6,嘉義品安豆漿豆花,z0ib,1,['甜點'],False,19.0,79.0,20.0,5.0,4.0106808372472615,1920
7,麥當勞 (S410 嘉義後庄店),d4db,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,1.5705752856595216,8524
8,釜山崔炸雞 (嘉義吳鳳店),pzmv,2,"['韓式', '炸雞']",False,19.0,79.0,15.0,5.0,2.3765019696305525,426
9,粥年慶,d8id,1,"['粥', '台式']",False,19.0,79.0,15.0,5.0,1.0447923235628425,680
10,上榮新疆烤肉串(嘉義後庄店),z7kt,2,['小吃'],False,19.0,79.0,15.0,10.0,1.3004728728368375,927
11,楓味屋咖哩飯/丼飯/拉麵,e2dq,2,"['麵食', '咖哩', '日式']",False,19.0,79.0,15.0,5.0,1.4135283405510477,1330
12,黑棟當歸鴨 (嘉義後庄店),q4uc,2,"['麵食', '台式']",False,19.0,79.0,20.0,10.0,1.4570222259569188,335
13,欣葉牛排 (嘉義吳鳳南路店),s2zg,2,"['台式', '牛排']",False,19.0,79.0,15.0,5.0,2.1853936056791903,957
