,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,大碗公冰·甜品 (台南歸仁店),e2pa,2,['甜點'],False,19.0,79.0,25.0,15.0,0.7482408658095592,1034
1,白巷子 (仁德中正店),hxmh,2,['飲料'],False,19.0,79.0,20.0,5.0,3.7274387400568156,860
2,鮮自然 (台南中二門市),a3vr,2,['飲料'],False,19.0,79.0,20.0,5.0,3.6558611458936223,832
3,斑鳩的窩 (台南仁德店),j4am,2,"['便當', '日式']",False,19.0,79.0,30.0,10.0,4.408030105338006,1188
4,麥當勞 (S265 台南歸仁店),v8wd,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,0.42542410056652746,9937
5,板塊牛排 (台南歸仁店),b7ip,2,"['歐美', '牛排']",False,19.0,79.0,15.0,5.0,0.35928123036789544,2282
6,來碗拉麵 (台南歸仁店),b4lp,1,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,0.5703670362544071,2479
7,龍鹽酥雞 (台南歸仁店),u0q9,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.5180011263843216,211
8,八方雲集 (歸仁中正店),d8vv,2,"['台式', '餃子']",False,19.0,79.0,25.0,20.0,0.57319610724352,2448
9,3Q脆皮雞排 (台南歸仁店),p5si,1,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,0.7131143912438237,1140
10,安南羊肉,q7ta,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.4733986670867014,764
11,梁社漢排骨 (歸仁中山店),wnuh,2,"['便當', '台式']",False,19.0,79.0,15.0,5.0,0.39122921775396224,255
12,豆坊 (台南歸仁店),rhxw,1,['甜點'],False,19.0,79.0,15.0,5.0,0.433021390388647,224
13,Pizza Hut必勝客 (台南歸仁店),e8tr,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,0.5442743051214386,1876
14,老二鹽水雞 (台南歸仁店),nto2,2,['小吃'],False,19.0,79.0,15.0,5.0,0.6095752157054223,722
15,媽的剉冰,qa5l,2,"['麵食', '台式', '餃子']",False,19.0,79.0,20.0,10.0,0.5780100621138156,50
16,大埔鐵板燒 (歸仁中山店),b4px,2,"['鐵板燒', '台式']",False,19.0,79.0,15.0,10.0,0.3888120580011998,1447
17,可不可熟成紅茶 (台南歸仁店),o1zu,1,['飲料'],False,19.0,79.0,15.0,5.0,0.3734003586553013,2187
18,阿煌薑母鴨,iih0,2,"['火鍋', '台式']",False,19.0,79.0,20.0,10.0,0.2334554602668582,411
