,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,好食丼 (高雄興中店),n445,2,['日式'],False,15.0,79.0,20.0,5.0,1.5278996581512088,462
1,十管香-香香拌,j1ys,2,"['中式', '火鍋']",False,15.0,79.0,35.0,20.0,1.4629444934627758,98
2,肯德基KFC炸雞漢堡店 (高雄文化店),y0vz,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,15.0,5.0,0.6078608914521147,2885
3,Pizza Hut必勝客 (高雄文化店),y4yh,2,"['披薩', '歐美']",False,15.0,79.0,20.0,10.0,0.8784306463820292,2216
4,巧味北平烤鴨專賣店,x2oo,2,['中式'],False,15.0,79.0,20.0,5.0,1.5103796101788236,4613
5,玖玖迷你土雞鍋 (高雄自立店),u0zb,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,1.4760129955620171,1051
6,鶴茶樓 (三民十全店),t209,1,['飲料'],False,15.0,79.0,20.0,5.0,1.5883960335808376,2651
7,捌捌迷你土雞鍋 (鳳山青年店),x6eg,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,4.029646484579544,2465
8,王記牛肉麵,y6vy,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.8035468535288304,3295
9,牛妞炒飯 (高雄熱河店),z1vn,2,['台式'],False,15.0,79.0,20.0,5.0,1.4764271222883114,3248
10,紐西蘭牛排,r9sq,2,"['歐美', '牛排']",False,15.0,79.0,20.0,5.0,1.0368225001662428,6
11,阿文壽司,euci,2,['日式'],False,15.0,79.0,40.0,25.0,2.189261771801873,20
12,老江紅茶牛奶 (高雄大連店),ekpi,2,"['台式', '三明治 / 吐司']",False,15.0,79.0,25.0,15.0,1.5733677237275085,1
13,蝦桶 Shrimp Master,vg87,3,['歐美'],False,15.0,79.0,25.0,10.0,1.9278553699893355,4
14,吃飯店料理亭,fupo,3,"['湯品', '台式']",False,15.0,79.0,40.0,20.0,2.9384650933089276,3
15,紅鼻子豬腳 (高雄十全店),wbhz,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,1.481692572882099,1786
16,小雅 芋頭西米露專賣店,j7dh,2,['甜點'],False,15.0,79.0,20.0,5.0,1.38954464992891,821
17,穩記港式點心 (高雄瑞源店),f4he,3,"['湯品', '港式', '粥']",True,15.0,79.0,25.0,15.0,1.3414217714156054,1011
18,阿美海產,v8l8,3,"['湯品', '台式']",False,15.0,79.0,20.0,5.0,1.1023523747184842,248
19,肉肉先生,m88x,3,"['歐美', '牛排']",False,15.0,79.0,20.0,10.0,0.5760560238204616,36
20,三民街老周冷熱飲,zy6r,2,['甜點'],False,15.0,79.0,20.0,5.0,1.9147746139067883,137
21,阿大土司 (高雄鼎中總店),b3aa,2,['台式'],False,15.0,79.0,25.0,5.0,3.789556344612238,6031
