,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,巧味北平烤鴨專賣店,x2oo,2,['中式'],False,15.0,79.0,40.0,15.0,1.0969951155902395,4613
1,玖玖迷你土雞鍋 (高雄自立店),u0zb,2,"['火鍋', '台式']",False,15.0,79.0,40.0,15.0,1.0957843492797676,1051
2,鶴茶樓 (三民十全店),t209,1,['飲料'],False,15.0,79.0,40.0,15.0,2.440753034507061,2651
3,三十年老店雞肉飯,e0se,2,"['湯品', '便當', '台式']",False,15.0,79.0,40.0,10.0,1.1282120918578478,1706
4,肯德基KFC炸雞漢堡店 (高雄站前店),y8dj,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,40.0,15.0,1.4988687874653532,2931
5,牛妞炒飯 (高雄熱河店),z1vn,2,['台式'],False,15.0,79.0,40.0,10.0,2.2765136356808773,3248
6,十九甲雞排 (高雄雄女店),hdcp,2,"['小吃', '炸雞']",False,15.0,79.0,40.0,15.0,0.5260731417451904,228
7,蝌蚪大廟口塩水雞 (苓雅自強店),k4qt,2,['小吃'],False,15.0,79.0,40.0,15.0,1.1803008393575778,349
8,大豪牛排 (高雄熱河店),z7jm,2,"['台式', '牛排']",False,15.0,79.0,40.0,10.0,2.2397089139008535,4869
9,臨門一餃 (高雄苓雅店),o8xo,2,['台式'],False,15.0,79.0,40.0,15.0,2.3914983732471162,87
10,阿文壽司,euci,2,['日式'],False,15.0,79.0,40.0,15.0,1.1420458060956589,20
11,紐西蘭牛排,r9sq,2,"['歐美', '牛排']",False,15.0,79.0,40.0,15.0,1.020316742000943,6
12,蝦桶 Shrimp Master,vg87,3,['歐美'],False,15.0,79.0,40.0,15.0,0.8724144963928385,4
13,老江紅茶牛奶 (高雄大連店),ekpi,2,"['台式', '三明治 / 吐司']",False,15.0,79.0,40.0,15.0,2.334919836738974,1
14,紅鼻子豬腳 (高雄青年店),r9sp,2,"['湯品', '便當', '台式']",False,15.0,79.0,40.0,15.0,1.0522715980876272,1478
15,穩記港式點心 (高雄瑞源店),f4he,3,"['湯品', '港式', '粥']",True,15.0,79.0,40.0,15.0,0.5428233375330782,1011
16,早到晚到 (高雄五福店),ied0,2,['台式'],False,15.0,79.0,40.0,15.0,1.15952569241286,105
17,三民街老周冷熱飲,zy6r,2,['甜點'],False,15.0,79.0,40.0,15.0,1.0740798528648527,137
18,王哥陽春麵傳奇,g0xw,2,"['麵食', '台式']",False,15.0,79.0,40.0,15.0,0.7766820949236495,560
19,金漢城韓國料理,f5xs,2,"['韓式', '湯品', '麵食']",True,15.0,79.0,40.0,15.0,0.8688274513218578,837
20,阿智喝茶 (高雄三民街創始老店),b3lr,1,['飲料'],True,15.0,79.0,40.0,10.0,1.0553408269853684,966
21,小雅 芋頭西米露專賣店,j7dh,2,['甜點'],False,15.0,79.0,40.0,15.0,2.420584952124863,821
22,億品鍋 (高雄七賢店),iieg,2,"['火鍋', '台式']",False,15.0,79.0,40.0,15.0,0.8997678589166276,262
