,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (台南崇明店),z7eh,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,25.0,5.0,3.5843731943160972,2250
1,大苑子 (台南崇德店),z9vv,2,['飲料'],False,19.0,79.0,20.0,5.0,3.3433376391866303,2025
2,胖老爹美式炸雞 (台南崇善店),z6bl,2,"['歐美', '炸雞']",False,19.0,79.0,35.0,15.0,3.832675199829978,2678
3,鶴茶樓(台南東區崇明店),os4s,2,['飲料'],False,19.0,79.0,25.0,5.0,3.6860377336000236,113
4,鮮自然 (台南仁和門市),y8xx,1,['飲料'],False,19.0,79.0,20.0,5.0,2.7985588082343416,1025
5,白巷子 (仁德中正店),hxmh,2,['飲料'],False,19.0,79.0,25.0,5.0,3.5016627464084213,860
6,鮮自然 (台南中二門市),a3vr,2,['飲料'],False,19.0,79.0,25.0,5.0,3.4120717948001382,832
7,鮮自然 (台南市醫門市),zffe,1,['飲料'],False,19.0,79.0,20.0,5.0,2.722749236888836,93
8,Burger King 漢堡王 (台南崇學店),f7j6,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,5.0,3.827895312483475,883
9,麥當勞 (S509 仁德二仁店),eff7,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,2.6160028465146494,4607
10,成大館 (台南崇德店),j9ag,2,"['便當', '台式']",False,19.0,79.0,20.0,5.0,2.805379630930376,2805
11,高師傅滷味 (台南仁德店),r4il,2,['小吃'],False,19.0,79.0,20.0,5.0,2.4429538120230414,791
12,享到(晚餐宵夜),nk9u,2,"['漢堡', '麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,20.0,5.0,2.8457426885216695,105
13,津味麵館,v5wk,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.267641933683457,705
14,好旺牛排 (生產店),h5og,2,"['台式', '牛排']",False,19.0,79.0,20.0,5.0,2.1664742136879327,1150
15,斑鳩的窩 (台南新仁店),c3df,2,"['便當', '日式']",False,19.0,79.0,20.0,10.0,1.0342416181469314,787
16,阿亮香雞排 (東區德東店),dtkb,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,1.8243949795674503,118
17,九色醬燒大雞排 (台南嘉藥店),b3oi,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,2.6678712299387373,2759
18,235巷Pasta (台南文化店),y2rd,2,"['歐美', '麵食']",False,19.0,79.0,25.0,10.0,3.2953550901968853,4679
19,臭灶腳-仁德總店台北深坑臭豆腐,ao6v,2,['小吃'],False,19.0,79.0,25.0,5.0,3.704120998514019,1420
20,大碗公冰·甜品 (台南崇德店),kvqe,2,['甜點'],False,19.0,79.0,30.0,15.0,2.867843553367536,534
21,來碗拉麵 (台南崇德店),b1bt,1,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,2.8055303900502353,1837
22,三商巧福 (4477新仁店),cwvn,2,"['麵食', '台式']",False,19.0,79.0,30.0,20.0,1.0235430128759986,145
23,早餐食堂 晚餐&宵夜專賣店,dhlz,2,['台式'],False,19.0,79.0,25.0,10.0,3.3078733484751117,514
24,yummy火雞肉飯,g1ia,2,"['湯品', '便當', '台式']",False,19.0,79.0,20.0,5.0,2.877050143889474,1420
25,潮味決．湯滷專門店 (台南崇明分社),zc8y,2,['台式'],False,19.0,79.0,25.0,5.0,3.481096850029423,1792
26,隔壁宵夜 (台南中華東店),s2qx,2,"['麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,25.0,5.0,3.7425516471136295,146
27,十九甲雞排 (台南仁德店),l5dy,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,15.0,2.542659543660317,806
28,Tea's原味 (台南德南店),a9jj,1,['飲料'],False,19.0,79.0,20.0,5.0,2.20137750506652,1544
29,鐵滋味一號餐車,x9nj,1,['台式'],False,19.0,79.0,20.0,5.0,2.9686246909647296,332
30,大埔鐵板燒 (台南仁德店),f4jb,2,"['鐵板燒', '台式']",False,19.0,79.0,25.0,5.0,3.6170162742978267,2693
31,魔王狂爆雞排 (仁德保安店),wqvq,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.6583918835747387,90
32,金茶伍手作飲品 (台南仁德總店),a4fm,2,['飲料'],False,19.0,79.0,20.0,5.0,2.2066234824258473,1386
33,戰鬥雞-油雞/醉雞 輕食 (崇明旗艦總店),z9rw,2,"['健康餐', '台式']",False,19.0,79.0,25.0,5.0,3.4578116815542725,1585
34,梁社漢排骨 (台南崇德店),i1ur,2,"['便當', '台式']",False,19.0,79.0,20.0,10.0,2.3997068250941433,565
35,可不可熟成紅茶 (台南市醫店),gc6y,1,['飲料'],False,19.0,79.0,20.0,5.0,2.688319861419882,722
36,仁和深海鮮魚湯,b1lc,2,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,2.904592574970679,1550
37,好來屋餛飩麵牛肉麵,an7b,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,1.9860245965789498,84
38,麻古茶坊 (台南崇德店),sh5l,2,['飲料'],False,19.0,79.0,25.0,10.0,2.7036297331956582,659
39,老全大腸蚵仔麵線 (台南仁德店),a2qn,1,['小吃'],False,19.0,79.0,20.0,5.0,2.238911809330664,1083
