,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,好食丼 (高雄興中店),n445,2,['日式'],False,15.0,79.0,15.0,5.0,0.608890783337334,462
1,十管香-香香拌,j1ys,2,"['中式', '火鍋']",False,15.0,79.0,35.0,20.0,2.2583999736920934,98
2,肯德基KFC炸雞漢堡店 (高雄文化店),y0vz,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,15.0,5.0,0.6131274205599467,2885
3,Pizza Hut必勝客 (高雄文化店),y4yh,2,"['披薩', '歐美']",False,15.0,79.0,20.0,10.0,0.47856189255797327,2216
4,捌捌迷你土雞鍋 (高雄成功店),r8bb,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,1.8025444873189214,1020
5,巧味北平烤鴨專賣店,x2oo,2,['中式'],False,15.0,79.0,20.0,5.0,2.139740309358404,4613
6,滷味先生 (鳳山自強店),j4vn,2,['小吃'],False,15.0,79.0,25.0,5.0,3.3976169507559697,1495
7,鶴茶樓 (三民十全店),t209,1,['飲料'],False,15.0,79.0,20.0,5.0,2.5454857131614856,2651
8,捌捌迷你土雞鍋 (鳳山青年店),x6eg,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,4.032807208171479,2465
9,三十年老店雞肉飯,e0se,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,1.7296222463300908,1706
10,阿文壽司,euci,2,['日式'],False,15.0,79.0,40.0,25.0,1.7387831924490214,20
11,紐西蘭牛排,r9sq,2,"['歐美', '牛排']",False,15.0,79.0,20.0,5.0,1.6136160284882326,6
12,蝦桶 Shrimp Master,vg87,3,['歐美'],False,15.0,79.0,25.0,10.0,1.5867828598290414,4
13,老江紅茶牛奶 (高雄大連店),ekpi,2,"['台式', '三明治 / 吐司']",False,15.0,79.0,30.0,15.0,2.5219582125073887,1
14,紅鼻子豬腳 (高雄青年店),r9sp,2,"['湯品', '便當', '台式']",False,15.0,79.0,15.0,5.0,1.243167563879552,1478
15,阿美海產,v8l8,3,"['湯品', '台式']",False,15.0,79.0,15.0,5.0,0.35922643878328325,248
16,穩記港式點心 (高雄瑞源店),f4he,3,"['湯品', '港式', '粥']",True,15.0,79.0,25.0,15.0,1.6346925762800524,1011
17,肉肉先生,m88x,3,"['歐美', '牛排']",False,15.0,79.0,20.0,10.0,0.3911666411949727,36
18,小雅 芋頭西米露專賣店,j7dh,2,['甜點'],False,15.0,79.0,20.0,5.0,2.352093229383719,821
19,金漢城韓國料理,f5xs,2,"['韓式', '湯品', '麵食']",True,15.0,79.0,20.0,5.0,1.393169856166297,837
20,三民街老周冷熱飲,zy6r,2,['甜點'],False,15.0,79.0,20.0,5.0,2.477991814458397,137
21,陳記手工蒸餃鴨肉羹,dhcd,2,"['湯品', '台式']",False,15.0,79.0,20.0,5.0,1.6719391043305856,368
