,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,肯德基KFC炸雞漢堡店 (台南崇明店),z7eh,2,"['甜點', '漢堡', '歐美', '炸雞']",True,19.0,79.0,25.0,5.0,4.328350572412758,2250
1,鮮自然 (台南仁和門市),y8xx,1,['飲料'],False,19.0,79.0,20.0,5.0,2.9704416287793496,1025
2,白巷子 (仁德中正店),hxmh,2,['飲料'],False,19.0,79.0,20.0,5.0,2.3141624501551528,860
3,鮮自然 (台南中二門市),a3vr,2,['飲料'],False,19.0,79.0,20.0,5.0,2.155395774658428,832
4,Burger King 漢堡王 (台南崇學店),f7j6,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,5.0,4.450337103117281,883
5,斑鳩的窩 (台南仁德店),j4am,2,"['便當', '日式']",False,19.0,79.0,25.0,10.0,2.7190002503300423,1188
6,高師傅滷味 (台南仁德店),r4il,2,['小吃'],False,19.0,79.0,15.0,5.0,0.6245310770556128,791
7,津味麵館,v5wk,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.6140429568776982,705
8,臭灶腳-仁德總店台北深坑臭豆腐,ao6v,2,['小吃'],False,19.0,79.0,20.0,5.0,2.307223456064898,1420
9,Tea's原味 (台南德南店),a9jj,1,['飲料'],False,19.0,79.0,15.0,5.0,0.07112854542447661,1544
10,金茶伍手作飲品 (台南仁德總店),a4fm,2,['飲料'],False,19.0,79.0,15.0,5.0,0.09408420036885135,1386
11,早餐食堂 晚餐&宵夜專賣店,dhlz,2,['台式'],False,19.0,79.0,20.0,10.0,1.9716310903749497,514
12,老全大腸蚵仔麵線 (台南仁德店),a2qn,1,['小吃'],False,19.0,79.0,15.0,5.0,0.1941046234016032,1083
13,麥當勞 (S358 台南仁德店),m6ya,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,2.751800842908196,5857
14,穆納MUNA TEA HOUSE (台南德南店),x20t,2,['飲料'],False,19.0,79.0,15.0,5.0,0.0967490654147348,179
15,十九甲雞排 (台南仁德店),l5dy,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,15.0,0.7742695915751296,806
16,鮮茶道 (仁德後壁厝店),d7ha,1,['飲料'],False,19.0,79.0,15.0,5.0,0.33141819890008267,898
17,大埔鐵板燒 (台南仁德店),f4jb,2,"['鐵板燒', '台式']",False,19.0,79.0,20.0,5.0,2.5786435498377522,2693
18,三媽臭臭鍋 (台南仁德店),a4gw,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,2.6774245901859435,5439
19,鍾厝廟口鹽酥雞,i4mu,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.476815476503358,1570
20,好旺牛排 (生產店),h5og,2,"['台式', '牛排']",False,19.0,79.0,20.0,5.0,2.869961932708621,1150
21,成大館 (台南崇德店),j9ag,2,"['便當', '台式']",False,19.0,79.0,25.0,5.0,3.3970668350176383,2805
22,阿亮香雞排 (東區德東店),dtkb,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,2.4799160965605735,118
23,上味麵館 (台南仁德店),b1dc,1,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,0.32790212147599235,820
24,享到(晚餐宵夜),nk9u,2,"['漢堡', '麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,25.0,5.0,3.6084424983899517,105
25,大上海香酥雞 (台南仁德店),j4pf,1,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,2.7139924354345264,1572
26,富農小吃店,p2zk,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,4.596053856093024,3102
27,達美樂 (仁德中正店),t0ht,3,"['披薩', '歐美']",False,30.0,199.0,30.0,25.0,0.6543908053804917,1071
28,九色醬燒大雞排 (台南嘉藥店),b3oi,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,3.3508791205039916,2759
29,得正#仁德計畫,msv7,2,['飲料'],False,19.0,79.0,20.0,5.0,2.380479799727878,41
30,興乙鮮魚湯,eouk,2,"['湯品', '粥', '台式']",False,19.0,79.0,20.0,5.0,2.7332887257700356,229
31,藝鍋物 (台南仁德店),rnqq,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,2.7874501348211673,948
32,Pizza Hut必勝客 (台南仁德店),k0vd,2,"['披薩', '歐美']",False,19.0,79.0,25.0,10.0,2.436670663748187,1109
33,小洲洲米糕攤,zlxp,2,['台式'],False,19.0,79.0,20.0,5.0,2.514375343943385,752
34,大碗公冰·甜品 (台南崇德店),kvqe,2,['甜點'],False,19.0,79.0,30.0,15.0,3.4480228369935975,534
35,235巷Pasta (台南文化店),y2rd,2,"['歐美', '麵食']",False,19.0,79.0,25.0,10.0,4.028842259847402,4679
36,灶妃雞炸物小棧,gabh,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.05950778865065965,15
37,糖水塘雪淇紅茶 (台南仁德後壁店),b9za,1,['甜點'],False,19.0,79.0,15.0,5.0,0.1386238672974454,686
38,仁德吳家羊肉爐,qn32,2,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,2.50722325095064,165
39,早到晚到 (台南中華店),cjub,2,['台式'],False,19.0,79.0,25.0,10.0,4.0406768001970255,96
40,隔壁宵夜 (台南中華東店),s2qx,2,"['麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,25.0,5.0,4.125798954302503,146
41,胖老爹美式炸雞 (台南仁德店),b0ji,2,"['歐美', '炸雞']",False,19.0,79.0,30.0,15.0,2.548204984626017,1806
42,來碗拉麵 (台南崇德店),b1bt,1,"['麵食', '日式']",False,19.0,79.0,25.0,5.0,3.3967952175383216,1837
43,極品鮮粥,e7fn,1,"['粥', '台式']",False,19.0,79.0,25.0,5.0,3.4143979273474225,1373
44,仁和深海鮮魚湯,b1lc,2,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,3.1072166190832897,1550
45,百年鍋燒 (仁德中正店),r0fu,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,2.6479104141264083,790
46,潮味決．湯滷專門店 (台南崇明分社),zc8y,2,['台式'],False,19.0,79.0,25.0,5.0,4.209273053947686,1792
47,和風堂日式炸豬排專賣店,e5rg,2,"['便當', '日式']",False,19.0,79.0,25.0,10.0,2.9300601650299627,1287
