,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,胖老爹美式炸雞 (南科新市店),f2oc,2,"['歐美', '炸雞']",False,19.0,79.0,20.0,15.0,0.7651222128110059,1717
1,宵棧 (台南新市店),zj70,2,"['早餐', '漢堡', '台式', '三明治 / 吐司']",False,19.0,79.0,15.0,5.0,0.43231943157946096,168
2,鮮自然 (新市南科店),v7qv,2,['飲料'],False,19.0,79.0,15.0,5.0,0.4160869360105387,720
3,Pizza Hut必勝客 (台南南科店),n6uz,2,"['披薩', '歐美']",False,19.0,79.0,15.0,10.0,0.5008667904677323,2252
4,大苑子 (新市店),f8sw,2,['飲料'],False,19.0,79.0,15.0,5.0,0.5061967647374082,1031
5,TEATOP 第一味 (新市中興店),dck9,2,['飲料'],False,19.0,79.0,10.0,5.0,0.09330522592446532,265
6,春陽茶事 (台南新市店),n7kt,2,['飲料'],False,19.0,79.0,15.0,5.0,0.8386455049041535,557
7,龍鹽酥雞 (台南新市店),w876,2,['小吃'],False,19.0,79.0,15.0,10.0,0.3821342740532124,137
8,大順羊肉,t5ds,2,['台式'],False,19.0,79.0,15.0,5.0,0.4685454760136124,1345
9,麥當勞 (S497 新市中山店),t7xs,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,1.3008179985677015,9873
10,早到晚到 (台南新市店),jnvg,2,"['麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,20.0,10.0,0.8954033101579153,129
11,艋舺雞排 (台南新市店),f3cb,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.24838755292719453,2773
12,京享鐵板燒 (台南新市店),ij19,2,"['鐵板燒', '台式']",False,19.0,79.0,15.0,10.0,0.3563819791229714,883
13,二饌牛肉麵,i2cn,2,"['湯品', '麵食', '台式']",False,19.0,79.0,10.0,5.0,0.24740621596838105,1180
14,潮味決．湯滷專門店 (台南新市分社),dj54,2,['台式'],False,19.0,79.0,15.0,5.0,0.447360897348771,1086
15,3Q脆皮雞排 (台南新市店),v0sa,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.3267389577859367,1293
16,小東門咖哩 (台南新市店),buqh,2,['日式'],False,19.0,79.0,15.0,5.0,0.606396515303277,281
17,開源社香雞排 (台南新市店),l2xp,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.11109920894737474,1504
18,集香餐飲 (台南新市店),f7nc,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.4266717029479603,853
19,玖陸炒飯,hc6x,2,"['火鍋', '台式']",True,19.0,79.0,25.0,15.0,1.1276779487419288,496
20,吮指王KING (新市中正店),klea,2,"['台式', '炸雞']",False,19.0,79.0,15.0,5.0,0.43136923089046364,301
21,麻古茶坊 (新市中正店),k0vs,2,['飲料'],False,19.0,79.0,15.0,5.0,0.6061594713007239,990
22,小熊家早午餐,j5fa,2,['台式'],False,19.0,79.0,15.0,10.0,0.4214781119539454,810
23,王樣 (台南新市店),lhti,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,0.5227530530730515,1636
24,慕春職人茶飲 (台南新市店),kgws,2,['飲料'],False,19.0,79.0,15.0,10.0,0.1961379947791864,331
25,阿華生活茶飲 (台南新市店),f1ux,1,['飲料'],False,19.0,79.0,10.0,5.0,0.22480477787184555,1130
26,台灣陽雞炸物專賣店 (台南新市店),sjb4,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.2662109294780221,35
27,香鍋裡辣干鍋店,f4fc,2,['小吃'],False,19.0,79.0,20.0,15.0,0.40454907842290766,927
28,老瀚推車極品麻辣鴨血 (台南南科店),nabt,2,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.4875651756107354,364
29,韓金量新韓式炸雞 (台南新市店),xqoq,2,"['韓式', '炸雞']",False,19.0,79.0,15.0,10.0,0.25896250511640934,88
30,宏哥炸雞,q0oy,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.31533814338639177,488
31,沛林豆花冰店,tkhw,1,['甜點'],False,19.0,79.0,15.0,10.0,0.6426105781010097,562
32,吉多多,xc0s,2,"['歐美', '麵食']",False,19.0,79.0,15.0,5.0,0.4708138147064624,300
33,八辛吉手作麻辣 (台南新市店),byay,2,['小吃'],False,19.0,79.0,15.0,5.0,0.47850546488404216,89
34,丹尼披薩 (台南新市店),ehru,2,"['披薩', '歐美']",False,19.0,79.0,15.0,5.0,0.6064757306015739,141
35,鮮茶道 (新市華興店),f6ks,2,['飲料'],False,19.0,79.0,10.0,5.0,0.292689409685622,611
36,全家福 炒飯炒麵,o1kb,2,['台式'],False,19.0,79.0,15.0,5.0,1.1048583154162788,244
37,扒趴鴨 (台南新市店),dts7,2,['中式'],False,19.0,79.0,15.0,5.0,0.4597252644836412,67
38,日船章魚小丸子 (台南新市店),imwj,1,['日式'],False,19.0,79.0,15.0,5.0,0.5950035321550584,191
39,NU PASTA (台南新市店),ocnq,2,"['歐美', '麵食']",False,19.0,79.0,15.0,10.0,0.7629622752419389,421
40,鍾永和豆漿,equy,2,['小吃'],False,19.0,79.0,15.0,5.0,1.2863829672781668,352
41,真饌軒綠豆湯 (台南新市店),f3rw,1,['甜點'],False,19.0,79.0,10.0,5.0,0.22001553364082577,596
42,鍋就好臭臭鍋 (台南新市店),f9qy,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,0.6150218195247809,931
43,可不可熟成紅茶 (新市南科店),th1x,1,['飲料'],False,19.0,79.0,15.0,5.0,0.777532141445996,449
