,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,鮮自然 (麻豆興中店),j6jk,2,['飲料'],False,19.0,79.0,15.0,10.0,1.5184199690216584,875
1,三媽臭臭鍋 (台南麻豆店),i1io,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,1.9557233237603122,1346
2,清原芋圓 (台南麻豆店),qyfw,1,['甜點'],False,19.0,79.0,15.0,10.0,1.5873359899685007,469
3,滿茶Montea (台南麻豆店),ocf7,1,['飲料'],False,19.0,79.0,15.0,5.0,1.6837223416937661,119
4,麥當勞 (S260 台南麻豆店),jrp0,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,2.1299279932257775,4032
5,自在軒 (台南麻豆店),jrou,1,['台式'],False,19.0,79.0,15.0,5.0,1.9772345276295435,182
6,第1佳香雞排,t637,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.4811010125870356,346
7,九湯屋日式拉麵 (台南麻豆店),x9kr,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,1.6053152947773144,762
8,白巷子 (麻豆民權店),snac,1,['飲料'],False,19.0,79.0,15.0,5.0,1.6019362251505818,728
9,饕神廣東粥 (台南麻豆店),m8zn,2,"['中式', '粥']",False,19.0,79.0,15.0,5.0,1.4516956041192144,134
10,迷客夏 Milksha (臺南麻豆店),ghvf,2,['飲料'],False,19.0,79.0,15.0,10.0,1.3832906319804184,343
11,興隆肉燥飯 (台南麻豆店),t4q1,2,"['湯品', '台式', '餃子']",False,19.0,79.0,15.0,5.0,1.41012285202184,108
12,Tea's原味 (麻豆中山店),c3yk,2,['飲料'],False,19.0,79.0,15.0,5.0,2.1258235346612366,763
13,滿溢火鍋專賣店,qvl7,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,2.1470667510036634,597
14,Pizza Hut必勝客 (台南麻豆店),c9fj,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,2.280904243579795,1097
15,義darling麵,ykqj,2,"['歐美', '麵食']",False,19.0,79.0,15.0,5.0,1.9005548946986717,38
16,非港式熊貓燒賣 (台南麻豆店),orar,1,['小吃'],False,19.0,79.0,20.0,15.0,1.534642329664392,57
17,徠益隆小籠湯餃 (台南麻豆店),m7pt,2,"['中式', '湯品', '餃子']",False,19.0,79.0,20.0,10.0,1.4073211031947617,1052
18,紅茶洋行 (台南麻豆店),l1sd,1,['飲料'],False,19.0,79.0,15.0,5.0,2.100531738988642,546
19,昌平炸雞王 (台南麻豆店),mrwz,2,"['歐美', '炸雞']",True,19.0,79.0,25.0,15.0,2.1017465054686566,217
20,達美樂 (麻豆興南店),miym,3,"['披薩', '歐美']",False,30.0,199.0,25.0,15.0,1.508933657241151,29
21,甘乃滴冷泡飲 (台南麻豆店),v6ia,2,['飲料'],False,19.0,79.0,15.0,5.0,1.6521417639953628,245
22,BAGGO袋著走 (麻豆中山店),m3m1,2,['飲料'],False,19.0,79.0,15.0,10.0,1.9314914224651538,7
23,好手沏紅茶冰 (台南麻豆店),h3zq,2,['飲料'],False,19.0,79.0,15.0,5.0,2.1117899338466435,339
24,私奔到地瓜球,yk12,1,['甜點'],False,19.0,79.0,20.0,10.0,1.888520138099242,22
25,五鮮級平價鍋物 (台南麻豆店),tzvy,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,2.554272000669013,335
26,黃金比綠茶飲專賣店 (台南麻豆店),h4cx,1,['飲料'],False,19.0,79.0,15.0,5.0,1.49541756022231,326
27,米里mini (台南麻豆店),p7na,2,['飲料'],False,19.0,79.0,15.0,5.0,1.5621116536891857,1181
28,壽喜屋餐館,hc8m,2,"['便當', '麵食', '咖哩', '日式']",False,19.0,79.0,40.0,15.0,1.5030527259738242,67
29,早安美芝城 (麻豆活力總爺店),tamv,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,0.444304268812001,259
30,宜華蛋餅 (麻豆興中店),y49o,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,1.3585977186616944,98
31,晨間廚房 (麻豆興中店),k32v,2,"['早餐', '歐美']",True,19.0,79.0,40.0,15.0,1.3870723000148315,1620
32,普菈手作熱壓吐司,l0ym,1,"['歐美', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,1.5125508227467788,204
33,小日子手工蛋餅,m1tp,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,1.7570653689440088,828
34,古早味油飯 (台南麻豆店),e02l,1,"['湯品', '小吃']",False,19.0,79.0,40.0,15.0,1.7022718028179222,193
35,Louisa 路易莎 (台南麻豆店),jy2b,2,"['咖啡', '蛋糕', '歐美']",False,19.0,79.0,40.0,15.0,2.154307050347652,1244
36,阿鳳越南美食,tuj0,2,"['麵食', '東南亞']",False,19.0,79.0,40.0,15.0,1.4967467811120636,4
37,麻豆圓環外省麵,gp4r,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,2.4803707234029293,136
38,喜得炭火燒三明治 (台南麻豆店),y14f,1,"['台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,2.0019337571245406,643
39,森嵐茶韻 (台南麻豆店),oz86,2,['飲料'],False,19.0,79.0,40.0,15.0,1.5379377763918407,79
40,韓屋村韓式海苔飯卷,uv1p,1,['韓式'],False,19.0,79.0,40.0,15.0,1.753716727225121,378
41,南方米造,l5wg,1,"['湯品', '小吃']",False,19.0,79.0,40.0,15.0,2.563660589823316,139
42,鴨董當歸鴨｜招牌鴨肉飯｜(麻豆博愛店),beu0,2,"['湯品', '便當', '台式']",False,19.0,79.0,40.0,15.0,1.5976552940880864,618
43,可不可熟成紅茶 (麻豆中山店),as9y,1,['飲料'],False,19.0,79.0,40.0,15.0,1.917406075720306,493
44,陳家廣東腸粉,whtf,2,"['湯品', '港式']",False,19.0,79.0,40.0,15.0,1.6083901827647213,59
45,澄飲飲品,er4o,1,['飲料'],False,19.0,79.0,40.0,15.0,2.114918468369986,20
46,小仁泉極品豆漿 (台南麻豆店),n3nb,2,['甜點'],False,19.0,79.0,40.0,15.0,1.8229553475683387,44
47,八方雲集 (台南麻豆店),chdn,2,"['台式', '餃子']",False,19.0,79.0,40.0,15.0,0.964385390960032,270
48,三媽臭臭鍋 (台南麻豆店),i1io,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,1.9557233237603122,1346
49,清原芋圓 (台南麻豆店),qyfw,1,['甜點'],False,19.0,79.0,15.0,10.0,1.5873359899685007,469
50,滿茶Montea (台南麻豆店),ocf7,1,['飲料'],False,19.0,79.0,15.0,5.0,1.6837223416937661,119
51,麥當勞 (S260 台南麻豆店),jrp0,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,2.1299279932257775,4032
52,自在軒 (台南麻豆店),jrou,1,['台式'],False,19.0,79.0,15.0,5.0,1.9772345276295435,182
53,第1佳香雞排,t637,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,1.4811010125870356,346
54,九湯屋日式拉麵 (台南麻豆店),x9kr,2,"['麵食', '日式']",False,19.0,79.0,15.0,5.0,1.6053152947773144,762
55,白巷子 (麻豆民權店),snac,1,['飲料'],False,19.0,79.0,15.0,5.0,1.6019362251505818,728
56,饕神廣東粥 (台南麻豆店),m8zn,2,"['中式', '粥']",False,19.0,79.0,15.0,5.0,1.4516956041192144,134
57,迷客夏 Milksha (臺南麻豆店),ghvf,2,['飲料'],False,19.0,79.0,15.0,10.0,1.3832906319804184,343
58,興隆肉燥飯 (台南麻豆店),t4q1,2,"['湯品', '台式', '餃子']",False,19.0,79.0,15.0,5.0,1.41012285202184,108
59,Tea's原味 (麻豆中山店),c3yk,2,['飲料'],False,19.0,79.0,15.0,5.0,2.1258235346612366,763
60,滿溢火鍋專賣店,qvl7,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,2.1470667510036634,597
61,Pizza Hut必勝客 (台南麻豆店),c9fj,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,2.280904243579795,1097
62,義darling麵,ykqj,2,"['歐美', '麵食']",False,19.0,79.0,15.0,5.0,1.9005548946986717,38
63,非港式熊貓燒賣 (台南麻豆店),orar,1,['小吃'],False,19.0,79.0,20.0,15.0,1.534642329664392,57
64,徠益隆小籠湯餃 (台南麻豆店),m7pt,2,"['中式', '湯品', '餃子']",False,19.0,79.0,20.0,10.0,1.4073211031947617,1052
