,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,鮮自然 (麻豆興中店),j6jk,2,['飲料'],False,19.0,79.0,15.0,10.0,0.3250471514522507,875
1,三媽臭臭鍋 (台南麻豆店),i1io,2,"['火鍋', '台式']",False,19.0,79.0,20.0,15.0,0.7294029958219937,1346
2,清原芋圓 (台南麻豆店),qyfw,1,['甜點'],False,19.0,79.0,15.0,10.0,0.285650677635311,469
3,滿茶Montea (台南麻豆店),ocf7,1,['飲料'],False,19.0,79.0,10.0,5.0,0.4293739848389881,119
4,麥當勞 (S260 台南麻豆店),jrp0,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,0.8326695812064466,4032
5,第1佳香雞排,t637,2,"['小吃', '炸雞']",False,19.0,79.0,10.0,5.0,0.31036324648335434,346
6,九湯屋日式拉麵 (台南麻豆店),x9kr,2,"['麵食', '日式']",False,19.0,79.0,10.0,5.0,0.48791533406313026,762
7,自在軒 (台南麻豆店),jrou,1,['台式'],False,19.0,79.0,15.0,5.0,0.6918406836001812,182
8,白巷子 (麻豆民權店),snac,1,['飲料'],False,19.0,79.0,10.0,5.0,0.48211500079387276,728
9,饕神廣東粥 (台南麻豆店),m8zn,2,"['中式', '粥']",False,19.0,79.0,10.0,5.0,0.3002062620826865,134
10,迷客夏 Milksha (臺南麻豆店),ghvf,2,['飲料'],False,19.0,79.0,10.0,10.0,0.299850137681739,343
11,興隆肉燥飯 (台南麻豆店),t4q1,2,"['湯品', '台式', '餃子']",False,19.0,79.0,10.0,5.0,0.29380937525474304,108
12,Tea's原味 (麻豆中山店),c3yk,2,['飲料'],False,19.0,79.0,10.0,5.0,0.8294027674400086,763
13,滿溢火鍋專賣店,qvl7,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,0.8359521811288252,597
14,Pizza Hut必勝客 (台南麻豆店),c9fj,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,0.9782381236967426,1097
15,義darling麵,ykqj,2,"['歐美', '麵食']",False,19.0,79.0,15.0,5.0,0.6320410586054862,38
16,紅茶洋行 (台南麻豆店),l1sd,1,['飲料'],False,19.0,79.0,10.0,5.0,0.7931259445934474,546
17,徠益隆小籠湯餃 (台南麻豆店),m7pt,2,"['中式', '湯品', '餃子']",False,19.0,79.0,15.0,10.0,0.3082010908879594,1052
18,昌平炸雞王 (台南麻豆店),mrwz,2,"['歐美', '炸雞']",True,19.0,79.0,20.0,15.0,0.8064469953368313,217
19,非港式熊貓燒賣 (台南麻豆店),orar,1,['小吃'],False,19.0,79.0,20.0,15.0,0.33553711399758507,57
20,達美樂 (麻豆興南店),miym,3,"['披薩', '歐美']",False,30.0,199.0,25.0,15.0,0.38527939196902167,29
21,甘乃滴冷泡飲 (台南麻豆店),v6ia,2,['飲料'],False,19.0,79.0,10.0,5.0,0.6114503334328182,245
22,好手沏紅茶冰 (台南麻豆店),h3zq,2,['飲料'],False,19.0,79.0,10.0,5.0,0.8111802501651301,339
23,BAGGO袋著走 (麻豆中山店),m3m1,2,['飲料'],False,19.0,79.0,15.0,10.0,0.6461394344439831,7
24,私奔到地瓜球,yk12,1,['甜點'],False,19.0,79.0,15.0,10.0,0.6225789364860052,22
25,五鮮級平價鍋物 (台南麻豆店),tzvy,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,1.2518719832078222,335
26,黃金比綠茶飲專賣店 (台南麻豆店),h4cx,1,['飲料'],False,19.0,79.0,10.0,5.0,0.31842816549929626,326
27,米里mini (台南麻豆店),p7na,2,['飲料'],False,19.0,79.0,10.0,5.0,0.36286231779856454,1181
28,壽喜屋餐館,hc8m,2,"['便當', '麵食', '咖哩', '日式']",False,19.0,79.0,40.0,15.0,0.42533652601749855,67
29,早安美芝城 (麻豆活力總爺店),tamv,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,1.4624875227133307,259
30,宜華蛋餅 (麻豆興中店),y49o,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,0.29127432058196223,98
31,晨間廚房 (麻豆興中店),k32v,2,"['早餐', '歐美']",True,19.0,79.0,40.0,15.0,0.28670455443649334,1620
32,普菈手作熱壓吐司,l0ym,1,"['歐美', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,0.37654223548330906,204
33,小日子手工蛋餅,m1tp,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,0.5934979819627408,828
34,古早味油飯 (台南麻豆店),e02l,1,"['湯品', '小吃']",False,19.0,79.0,40.0,15.0,0.41337400659484136,193
35,Louisa 路易莎 (台南麻豆店),jy2b,2,"['咖啡', '蛋糕', '歐美']",False,19.0,79.0,40.0,15.0,0.8570282623455895,1244
36,麻豆圓環外省麵,gp4r,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,1.1696230545125623,136
37,阿鳳越南美食,tuj0,2,"['麵食', '東南亞']",False,19.0,79.0,40.0,15.0,0.30536432693365445,4
38,喜得炭火燒三明治 (台南麻豆店),y14f,1,"['台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,0.8284670045342535,643
39,森嵐茶韻 (台南麻豆店),oz86,2,['飲料'],False,19.0,79.0,40.0,15.0,0.4319573914129044,79
40,韓屋村韓式海苔飯卷,uv1p,1,['韓式'],False,19.0,79.0,40.0,15.0,0.5259518979249872,378
41,南方米造,l5wg,1,"['湯品', '小吃']",False,19.0,79.0,40.0,15.0,1.2533478951430281,139
42,鴨董當歸鴨｜招牌鴨肉飯｜(麻豆博愛店),beu0,2,"['湯品', '便當', '台式']",False,19.0,79.0,40.0,15.0,0.34221835437608383,618
43,可不可熟成紅茶 (麻豆中山店),as9y,1,['飲料'],False,19.0,79.0,40.0,15.0,0.6345189711286219,493
44,陳家廣東腸粉,whtf,2,"['湯品', '港式']",False,19.0,79.0,40.0,15.0,0.49820329370926997,59
45,澄飲飲品,er4o,1,['飲料'],False,19.0,79.0,40.0,15.0,0.821463077777003,20
46,峯展泰吉屋,w01v,2,['東南亞'],False,19.0,79.0,40.0,15.0,3.561225307183703,227
47,小仁泉極品豆漿 (台南麻豆店),n3nb,2,['甜點'],False,19.0,79.0,40.0,15.0,0.550358168447951,44
48,三媽臭臭鍋 (台南麻豆店),i1io,2,"['火鍋', '台式']",False,19.0,79.0,20.0,15.0,0.7294029958219937,1346
49,清原芋圓 (台南麻豆店),qyfw,1,['甜點'],False,19.0,79.0,15.0,10.0,0.285650677635311,469
50,滿茶Montea (台南麻豆店),ocf7,1,['飲料'],False,19.0,79.0,10.0,5.0,0.4293739848389881,119
51,麥當勞 (S260 台南麻豆店),jrp0,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,0.8326695812064466,4032
52,第1佳香雞排,t637,2,"['小吃', '炸雞']",False,19.0,79.0,10.0,5.0,0.31036324648335434,346
53,九湯屋日式拉麵 (台南麻豆店),x9kr,2,"['麵食', '日式']",False,19.0,79.0,10.0,5.0,0.48791533406313026,762
54,自在軒 (台南麻豆店),jrou,1,['台式'],False,19.0,79.0,15.0,5.0,0.6918406836001812,182
55,白巷子 (麻豆民權店),snac,1,['飲料'],False,19.0,79.0,10.0,5.0,0.48211500079387276,728
56,饕神廣東粥 (台南麻豆店),m8zn,2,"['中式', '粥']",False,19.0,79.0,10.0,5.0,0.3002062620826865,134
57,迷客夏 Milksha (臺南麻豆店),ghvf,2,['飲料'],False,19.0,79.0,10.0,10.0,0.299850137681739,343
58,興隆肉燥飯 (台南麻豆店),t4q1,2,"['湯品', '台式', '餃子']",False,19.0,79.0,10.0,5.0,0.29380937525474304,108
59,Tea's原味 (麻豆中山店),c3yk,2,['飲料'],False,19.0,79.0,10.0,5.0,0.8294027674400086,763
60,滿溢火鍋專賣店,qvl7,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,0.8359521811288252,597
61,Pizza Hut必勝客 (台南麻豆店),c9fj,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,0.9782381236967426,1097
62,義darling麵,ykqj,2,"['歐美', '麵食']",False,19.0,79.0,15.0,5.0,0.6320410586054862,38
63,紅茶洋行 (台南麻豆店),l1sd,1,['飲料'],False,19.0,79.0,10.0,5.0,0.7931259445934474,546
64,徠益隆小籠湯餃 (台南麻豆店),m7pt,2,"['中式', '湯品', '餃子']",False,19.0,79.0,15.0,10.0,0.3082010908879594,1052
65,昌平炸雞王 (台南麻豆店),mrwz,2,"['歐美', '炸雞']",True,19.0,79.0,20.0,15.0,0.8064469953368313,217
66,非港式熊貓燒賣 (台南麻豆店),orar,1,['小吃'],False,19.0,79.0,20.0,15.0,0.33553711399758507,57
67,達美樂 (麻豆興南店),miym,3,"['披薩', '歐美']",False,30.0,199.0,25.0,15.0,0.38527939196902167,29
68,甘乃滴冷泡飲 (台南麻豆店),v6ia,2,['飲料'],False,19.0,79.0,10.0,5.0,0.6114503334328182,245
69,好手沏紅茶冰 (台南麻豆店),h3zq,2,['飲料'],False,19.0,79.0,10.0,5.0,0.8111802501651301,339
70,BAGGO袋著走 (麻豆中山店),m3m1,2,['飲料'],False,19.0,79.0,15.0,10.0,0.6461394344439831,7
71,私奔到地瓜球,yk12,1,['甜點'],False,19.0,79.0,15.0,10.0,0.6225789364860052,22
72,五鮮級平價鍋物 (台南麻豆店),tzvy,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,1.2518719832078222,335
73,黃金比綠茶飲專賣店 (台南麻豆店),h4cx,1,['飲料'],False,19.0,79.0,10.0,5.0,0.31842816549929626,326
74,米里mini (台南麻豆店),p7na,2,['飲料'],False,19.0,79.0,10.0,5.0,0.36286231779856454,1181
75,壽喜屋餐館,hc8m,2,"['便當', '麵食', '咖哩', '日式']",False,19.0,79.0,40.0,15.0,0.42533652601749855,67
76,早安美芝城 (麻豆活力總爺店),tamv,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,1.4624875227133307,259
77,宜華蛋餅 (麻豆興中店),y49o,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,0.29127432058196223,98
78,晨間廚房 (麻豆興中店),k32v,2,"['早餐', '歐美']",True,19.0,79.0,40.0,15.0,0.28670455443649334,1620
79,普菈手作熱壓吐司,l0ym,1,"['歐美', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,0.37654223548330906,204
80,小日子手工蛋餅,m1tp,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,0.5934979819627408,828
81,古早味油飯 (台南麻豆店),e02l,1,"['湯品', '小吃']",False,19.0,79.0,40.0,15.0,0.41337400659484136,193
82,Louisa 路易莎 (台南麻豆店),jy2b,2,"['咖啡', '蛋糕', '歐美']",False,19.0,79.0,40.0,15.0,0.8570282623455895,1244
83,麻豆圓環外省麵,gp4r,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,1.1696230545125623,136
84,阿鳳越南美食,tuj0,2,"['麵食', '東南亞']",False,19.0,79.0,40.0,15.0,0.30536432693365445,4
85,喜得炭火燒三明治 (台南麻豆店),y14f,1,"['台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,0.8284670045342535,643
86,森嵐茶韻 (台南麻豆店),oz86,2,['飲料'],False,19.0,79.0,40.0,15.0,0.4319573914129044,79
87,韓屋村韓式海苔飯卷,uv1p,1,['韓式'],False,19.0,79.0,40.0,15.0,0.5259518979249872,378
88,南方米造,l5wg,1,"['湯品', '小吃']",False,19.0,79.0,40.0,15.0,1.2533478951430281,139
89,鴨董當歸鴨｜招牌鴨肉飯｜(麻豆博愛店),beu0,2,"['湯品', '便當', '台式']",False,19.0,79.0,40.0,15.0,0.34221835437608383,618
90,可不可熟成紅茶 (麻豆中山店),as9y,1,['飲料'],False,19.0,79.0,40.0,15.0,0.6345189711286219,493
91,陳家廣東腸粉,whtf,2,"['湯品', '港式']",False,19.0,79.0,40.0,15.0,0.49820329370926997,59
92,澄飲飲品,er4o,1,['飲料'],False,19.0,79.0,40.0,15.0,0.821463077777003,20
93,峯展泰吉屋,w01v,2,['東南亞'],False,19.0,79.0,40.0,15.0,3.561225307183703,227
94,小仁泉極品豆漿 (台南麻豆店),n3nb,2,['甜點'],False,19.0,79.0,40.0,15.0,0.550358168447951,44
95,Hido•喜豆。咖哩&丼飯,r5hh,2,"['湯品', '咖哩', '日式']",False,19.0,79.0,40.0,15.0,0.49679181746515,1082
96,翔美雪花冰｜鍋燒意麵｜麻豆美食 ｜ 30年老店,m3oc,2,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,0.49629446336768307,523
97,八方雲集 (台南麻豆店),chdn,2,"['台式', '餃子']",False,19.0,79.0,40.0,15.0,0.5457398570380758,270
98,山豬炒飯·炒泡麵料理職人,ygg9,2,"['湯品', '台式']",False,19.0,79.0,40.0,15.0,0.49575043557557097,413
99,愛迪蛋糕甜點坊,t23f,2,"['甜點', '蛋糕']",False,19.0,79.0,40.0,15.0,0.4978072866569672,49
100,八村廚,o3bc,2,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,1.2441297056182945,23
101,Serious Cafe 西瑞司新美式餐飲,l1bh,2,"['咖啡', '歐美']",False,19.0,79.0,40.0,15.0,0.3612540235599092,337
102,梁食堂,n5wg,2,"['湯品', '便當', '台式']",False,19.0,79.0,40.0,15.0,1.002640784463952,445
103,夏立克綠豆沙專門店 (麻豆興民店),ooxe,1,['飲料'],False,19.0,79.0,40.0,15.0,0.7934597034961584,188
104,八木茶飲 (台南麻豆店),curn,1,['飲料'],False,19.0,79.0,40.0,15.0,0.799859204878058,5
105,極品麻辣,z70g,2,['小吃'],False,19.0,79.0,40.0,15.0,0.6038162662152857,143
106,波記重慶酸辣粉鴨血臭豆腐,q5fu,2,"['中式', '麵食', '火鍋']",False,19.0,79.0,40.0,15.0,0.5938260783322106,10
107,艾焙客手作輕食咖啡甜點,tq4o,2,"['歐美', '麵食']",False,19.0,79.0,40.0,15.0,0.33962764556604375,287
108,焱炸雞 (台南麻豆店),jf7x,2,"['小吃', '炸雞']",False,19.0,79.0,40.0,15.0,0.3552573935342579,187
109,黃昏牛肉麵 (台南麻豆店),h03i,1,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,1.1869347420800447,0
110,老地方小館,v9ze,2,"['湯品', '台式']",False,19.0,79.0,40.0,15.0,0.40633462701198814,707
111,川醉湘 (台南麻豆店),pux9,2,['小吃'],False,19.0,79.0,40.0,15.0,0.3229327285429817,18
112,泰膳娘泰式料理,u16c,3,['東南亞'],False,19.0,79.0,40.0,15.0,1.192604979365197,5
113,農林cafe (新農林檜木精品),h3zs,2,"['咖啡', '歐美']",False,19.0,79.0,40.0,15.0,3.0594885249956216,12
114,極牛火鍋餐廳,s8et,2,"['中式', '火鍋']",False,19.0,79.0,40.0,15.0,0.39334938386496276,40
115,下營生炒鴨肉羹,kqqu,2,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,0.48622220371258257,14
116,戰鬥雞-油雞/醉雞 輕食 (麻豆店),hr14,1,['小吃'],False,19.0,79.0,40.0,15.0,0.4918650045258523,0
117,胖老爹美式炸雞 (台南麻豆店),x6wq,2,"['歐美', '炸雞']",False,19.0,79.0,40.0,15.0,0.5957357167681925,659
118,天品臭豆腐 (台南麻豆店),x5ho,1,['小吃'],False,19.0,79.0,40.0,15.0,0.4228328143573585,222
119,麻吉鹽水雞&麻辣雞 (台南麻豆店),t2bq,2,['小吃'],False,19.0,79.0,40.0,15.0,1.0145269383822013,323
120,台南擔仔麵,qh4v,1,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,0.3625731728101942,515
121,食光杯 (台南麻豆店),q8t0,2,['歐美'],False,19.0,79.0,40.0,15.0,2.401571330256577,43
122,吮指王 (麻豆文昌店),up9z,2,"['台式', '炸雞']",True,19.0,79.0,40.0,15.0,0.18084129754526923,428
123,阿伶海鮮粥,y7d4,2,"['麵食', '粥', '台式']",False,19.0,79.0,40.0,15.0,0.6045541046129098,35
