,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,拾年茶事 (鳳山青年),gkde,2,['飲料'],False,15.0,79.0,20.0,5.0,1.1739474874029023,242
1,好食丼 (高雄陽明店),rjgu,2,['日式'],False,15.0,79.0,15.0,5.0,0.5891399062012919,1863
2,十管香-香香拌,j1ys,2,"['中式', '火鍋']",False,15.0,79.0,35.0,20.0,2.254323322499531,98
3,春陽茶事 (高雄鼎中店),x1tr,2,['飲料'],False,15.0,79.0,25.0,5.0,2.9675488507006915,1604
4,捌捌迷你土雞鍋 (三民鼎中店),e2ft,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,2.672384288524186,2741
5,捌捌迷你土雞鍋 (鳳山青年店),x6eg,2,"['火鍋', '台式']",False,15.0,79.0,25.0,15.0,2.0055218561754806,2465
6,拉麵亭,y5bd,2,"['麵食', '日式']",False,15.0,79.0,25.0,5.0,3.5504871435427763,2562
7,這樣粥頌,e7wf,1,"['粥', '台式']",False,15.0,79.0,25.0,10.0,1.9118273874473237,1788
8,雞大爺 (鳳山光復店),y2yw,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,5.0,2.5489745242613324,880
9,大豪牛排 (高雄熱河店),z7jm,2,"['台式', '牛排']",False,15.0,79.0,25.0,5.0,3.6397689815203704,4869
10,大華牛排 (高雄左營店),wgu2,2,"['台式', '牛排']",False,15.0,79.0,25.0,5.0,3.7366685161730913,91
11,吃飯店料理亭,fupo,3,"['湯品', '台式']",False,15.0,79.0,35.0,20.0,1.7044699469138203,3
12,港式聞雞起爐 (鳳山文衡店),dsdy,3,"['火鍋', '港式']",False,15.0,79.0,25.0,15.0,1.2209072980737672,1
13,老江紅茶牛奶 (高雄鳳山店),s8sp,2,"['麵食', '台式', '三明治 / 吐司']",False,15.0,79.0,25.0,15.0,1.556590281356661,2
14,阿大土司 (高雄鼎中總店),b3aa,2,['台式'],False,15.0,79.0,25.0,5.0,2.726322157026538,6031
15,紅鼻子豬腳 (高雄十全店),wbhz,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,2.7887217391594796,1786
16,灰熊咖哩 (高雄建工店),o1sb,2,"['咖哩', '日式']",False,15.0,79.0,20.0,10.0,1.0607874151247538,554
17,大姐頭麵館 (左營富民店),nkd1,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,3.754251838076531,2464
18,禾町無煙炭火燒肉,bkll,2,['日式'],False,15.0,79.0,25.0,10.0,2.847082567612458,632
19,陳記手工蒸餃鴨肉羹,dhcd,2,"['湯品', '台式']",False,15.0,79.0,20.0,5.0,2.4158040437661636,368
20,小麟牛排 (三民建興店),q5l4,2,"['歐美', '牛排']",False,15.0,79.0,20.0,5.0,1.8950407866947112,22
21,小雅 芋頭西米露專賣店,j7dh,2,['甜點'],False,15.0,79.0,25.0,5.0,3.305584109481378,821
22,鍋濤粵式煲鍋,vikd,3,"['中式', '火鍋']",False,15.0,79.0,25.0,15.0,1.2609525460843043,42
23,南非牛排,hwfp,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,1.5428570434551299,31
24,巴蜀大將四川麻辣小火鍋·鍋物,oqlc,2,"['中式', '火鍋']",False,15.0,79.0,30.0,15.0,2.156323835977571,416
25,雞動組鹹酥雞,slnk,2,"['小吃', '炸雞']",False,15.0,79.0,35.0,15.0,4.124784262291994,266
