,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (台南安和店),e7dx,2,"['披薩', '歐美']",False,9.0,79.0,25.0,10.0,3.796515658704255,2414
1,3Q脆皮雞排 (台南安和店),h8fw,2,"['小吃', '炸雞']",False,9.0,79.0,25.0,10.0,3.7723769374555536,1654
2,岩葉拉麵 (台南店),wwwi,2,"['麵食', '日式']",False,9.0,79.0,20.0,5.0,3.4980283470720317,1258
3,吉來熱炒,s7gd,2,"['湯品', '麵食', '台式']",False,9.0,79.0,25.0,5.0,4.084628132885408,1286
4,鮮茶道 (台南港口店),nvp1,2,['飲料'],False,9.0,79.0,15.0,5.0,1.2884377096329673,164
5,舞奇雞 (台南總店),l4x2,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,3.5296805949111767,169
6,戰鬥雞-油雞/醉雞 輕食 (台南安和店),gprk,2,['小吃'],False,19.0,79.0,25.0,5.0,3.9752290427889054,102
7,品味鮮魚湯,jvfd,2,"['湯品', '粥', '台式']",False,9.0,79.0,25.0,5.0,3.915375157977818,470
8,上榮新疆烤肉 (台南安和店),gvg0,2,['小吃'],False,19.0,79.0,25.0,5.0,3.616564551953272,34
9,大苑子 (安南和順店),p1sr,2,['飲料'],False,9.0,79.0,20.0,5.0,3.681352092433675,112
10,穆納MUNA TEA HOUSE (台南安和店),zw97,1,['飲料'],False,9.0,79.0,20.0,5.0,3.6090475449768062,195
11,吳家紅茶冰 (安南安和店),xbqn,2,['飲料'],False,19.0,79.0,25.0,5.0,4.03276174836228,251
12,三媽臭臭鍋 (台南和順店),dpra,2,"['火鍋', '台式']",False,19.0,79.0,45.0,30.0,3.5364042052833473,1672
13,三分春色 (台南安和店),b29k,2,['飲料'],False,9.0,79.0,25.0,5.0,3.8341950391355843,566
14,佳吉祥當歸鴨,d98j,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,4.057843677366386,71
15,正宗川麻辣火鍋四川料理 (台南安定店),yfg8,2,"['中式', '火鍋']",False,19.0,79.0,20.0,10.0,1.6019375854178615,50
16,老二鹽水雞 (台南安和店),lw4r,2,['小吃'],False,19.0,79.0,25.0,10.0,3.9701105974413204,15
17,功夫茶KUNGFUTEA (台南安和店),eyq2,2,['飲料'],False,19.0,79.0,25.0,5.0,3.949206032170205,69
18,旅人甜點 (台南安和店),pxui,2,['甜點'],False,9.0,79.0,30.0,15.0,3.6090475449768062,70
19,85度C (安南和順店),e3tm,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,20.0,5.0,3.5727571718968374,491
20,翔讚鹹水雞,gdht,1,['小吃'],False,19.0,79.0,30.0,15.0,4.025865363109247,12
21,清清綠豆湯,quvt,1,['甜點'],False,19.0,79.0,25.0,5.0,4.046021024972693,11
22,Jiang Cafe,vdy5,1,"['披薩', '甜點', '咖啡', '三明治 / 吐司']",False,19.0,79.0,30.0,10.0,4.0392146037532655,5
23,茶米茶安和店,reqk,2,['飲料'],False,19.0,79.0,20.0,5.0,3.6731895966625,79
24,米里mini (台南安和店),t1vf,1,['飲料'],False,9.0,79.0,20.0,5.0,3.682862977283128,833
25,澤軒 (台南安和店),arjv,2,['飲料'],False,9.0,79.0,25.0,5.0,3.8331605793089074,287
26,鮮自然 (安順門市),g7jd,1,['飲料'],True,9.0,79.0,25.0,5.0,3.9250863299926366,421
27,清心福全 (台南安和店),b8uh,1,['飲料'],False,19.0,79.0,25.0,5.0,4.105445786934034,599
28,早安山丘 (台南安昌店),aq0k,1,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,3.312478685692701,1151
29,燒蛋壹下早午餐.手作蛋餅,hjn3,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,1.363469178162253,103
30,晨間廚房 (安定港口店),p3fe,2,"['早餐', '歐美']",False,9.0,79.0,40.0,15.0,1.1849098100970201,701
31,弘爺漢堡 (安南和順店),d5sp,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,3.762825104628483,2942
32,弘爺漢堡 (安南長安店),d1dy,2,"['早餐', '台式']",False,19.0,79.0,40.0,10.0,3.223125475697109,1555
33,早安美芝城 (台南活力安定店),idm3,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,2.810735482424468,63
34,日十。早午食 (台南長和店),t15i,2,"['早餐', '台式']",False,9.0,79.0,40.0,15.0,3.2641652469294034,1212
35,香香漢堡,d0bs,1,"['早餐', '台式']",False,9.0,79.0,40.0,10.0,3.6378156737348846,1746
36,喜得炭火燒三明治 (台南長和店),l2wq,2,"['台式', '三明治 / 吐司']",False,9.0,79.0,40.0,15.0,3.9173808159614083,815
37,義雄𩵚魠魚焿,eil2,2,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,4.188073225513336,31
38,吳媽媽黑木耳,n6op,2,['飲料'],False,19.0,79.0,40.0,15.0,3.640268807333738,83
39,鼎鼎大名火鍋｜素食｜鍋燒｜炒泡麵 專賣,n3ib,2,"['麵食', '火鍋', '台式']",True,9.0,79.0,40.0,15.0,4.066027784584953,3224
40,麻古茶坊 (台南安和店),ln90,2,['飲料'],False,9.0,79.0,40.0,15.0,3.9630643150374634,259
41,可不可熟成紅茶 (南科樹谷店),lv98,1,['飲料'],False,9.0,79.0,40.0,15.0,2.469647267861973,54
42,好大鹽水雞,i3n8,2,['小吃'],False,19.0,79.0,40.0,15.0,1.6108273897739234,25
43,飲料店,h7rh,1,['飲料'],False,19.0,79.0,40.0,15.0,1.501852123336634,0
44,八木茶飲 (台南安和店),kuph,2,['飲料'],False,19.0,79.0,40.0,15.0,3.5341907603445804,64
45,吳家鴨香飯 (台南安和店),zs8g,2,"['湯品', '台式']",False,19.0,79.0,40.0,15.0,3.9940376359391343,1948
46,陸鼎記 (台南安和店),u2kf,2,['飲料'],False,19.0,79.0,40.0,15.0,3.2925788084072805,45
47,黃金比綠 (台南安和店),mfb3,1,['飲料'],False,19.0,79.0,40.0,15.0,3.6344790880137317,7
48,3Q脆皮雞排 (台南安和店),h8fw,2,"['小吃', '炸雞']",False,9.0,79.0,25.0,10.0,3.7723769374555536,1654
49,岩葉拉麵 (台南店),wwwi,2,"['麵食', '日式']",False,9.0,79.0,20.0,5.0,3.4980283470720317,1258
50,吉來熱炒,s7gd,2,"['湯品', '麵食', '台式']",False,9.0,79.0,25.0,5.0,4.084628132885408,1286
51,鮮茶道 (台南港口店),nvp1,2,['飲料'],False,9.0,79.0,15.0,5.0,1.2884377096329673,164
52,舞奇雞 (台南總店),l4x2,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,3.5296805949111767,169
53,戰鬥雞-油雞/醉雞 輕食 (台南安和店),gprk,2,['小吃'],False,19.0,79.0,25.0,5.0,3.9752290427889054,102
54,品味鮮魚湯,jvfd,2,"['湯品', '粥', '台式']",False,9.0,79.0,25.0,5.0,3.915375157977818,470
55,上榮新疆烤肉 (台南安和店),gvg0,2,['小吃'],False,19.0,79.0,25.0,5.0,3.616564551953272,34
56,大苑子 (安南和順店),p1sr,2,['飲料'],False,9.0,79.0,20.0,5.0,3.681352092433675,112
57,穆納MUNA TEA HOUSE (台南安和店),zw97,1,['飲料'],False,9.0,79.0,20.0,5.0,3.6090475449768062,195
58,吳家紅茶冰 (安南安和店),xbqn,2,['飲料'],False,19.0,79.0,25.0,5.0,4.03276174836228,251
59,三媽臭臭鍋 (台南和順店),dpra,2,"['火鍋', '台式']",False,19.0,79.0,45.0,30.0,3.5364042052833473,1672
60,三分春色 (台南安和店),b29k,2,['飲料'],False,9.0,79.0,25.0,5.0,3.8341950391355843,566
61,佳吉祥當歸鴨,d98j,2,"['麵食', '台式']",False,19.0,79.0,30.0,15.0,4.057843677366386,71
62,正宗川麻辣火鍋四川料理 (台南安定店),yfg8,2,"['中式', '火鍋']",False,19.0,79.0,20.0,10.0,1.6019375854178615,50
63,老二鹽水雞 (台南安和店),lw4r,2,['小吃'],False,19.0,79.0,25.0,10.0,3.9701105974413204,15
64,功夫茶KUNGFUTEA (台南安和店),eyq2,2,['飲料'],False,19.0,79.0,25.0,5.0,3.949206032170205,69
