,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,森盛雲廚,kqab,2,['台式'],False,15.0,79.0,20.0,5.0,2.896396519871378,301
1,騰之雞排 (大社金龍店),rn17,2,"['小吃', '炸雞']",False,15.0,79.0,25.0,10.0,2.6270096247239554,43
2,桶一天下 (高雄大社店),f7os,2,['小吃'],False,15.0,79.0,25.0,10.0,2.3760106144586994,1203
3,牛妞炒飯 (楠梓德祥店),a7sg,2,['台式'],False,15.0,79.0,20.0,5.0,2.1175863533089623,4856
4,朝明小館,o0bt,2,"['湯品', '粥', '台式']",False,15.0,79.0,20.0,5.0,0.7907750487572693,1482
5,石一籠湯包 (高雄楠梓店),i4d3,2,"['中式', '麵食']",False,15.0,79.0,20.0,5.0,1.6729425310400248,158
6,好淳小火鍋,hyuv,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,2.1335529991226863,437
7,在地人鹽水雞 (高雄後勁店),vz38,2,['小吃'],False,15.0,79.0,20.0,5.0,2.0350633302112633,198
8,玖玖迷你土雞鍋 (楠梓軍校店),a4ss,2,"['火鍋', '台式']",False,15.0,79.0,40.0,20.0,4.355894301726842,3185
9,咕咕雞鹽酥雞 (土庫店),d2wf,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,0.8599192804401182,2041
10,好窩,e8no,2,"['便當', '台式']",False,15.0,79.0,20.0,5.0,2.3870436600586205,1692
11,My吐司,abkn,2,"['台式', '三明治 / 吐司']",False,15.0,79.0,20.0,5.0,2.1072831813890085,15
12,牛刀小事 (楠梓藍昌店),pbzn,3,"['歐美', '牛排']",False,15.0,79.0,25.0,10.0,3.92564300406057,107
13,板塊牛排 (高雄楠梓店),ivro,2,"['歐美', '牛排']",False,15.0,79.0,20.0,5.0,0.9004297332271674,591
14,小次郎披薩館,d6xe,3,"['披薩', '歐美']",False,15.0,79.0,20.0,5.0,2.4615223082458977,2027
15,Ju Guo聚郭·創意鍋物 (高雄大社店),bcs1,2,"['火鍋', '台式']",False,15.0,79.0,25.0,10.0,1.5996648426855435,184
16,江西傳藝風味外省麵 (高雄藍田店),zrpk,2,"['麵食', '台式']",False,15.0,79.0,40.0,25.0,3.4038072981507708,1760
17,管家麵食館,h4ws,2,"['湯品', '麵食', '台式']",True,15.0,79.0,25.0,5.0,3.281627194468073,738
18,牛鼎鑫牛排,r91l,2,"['台式', '牛排']",False,15.0,79.0,25.0,5.0,4.394500321976103,85
19,麥當勞 (S183 高雄楠梓店),b2wy,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,0.6094600008010066,17304
20,肯德基KFC炸雞漢堡店 (高雄楠梓二店),z2ze,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,15.0,5.0,0.608281796601337,7502
21,Burger King 漢堡王 (高雄楠梓店),ayj4,2,"['漢堡', '歐美']",False,15.0,79.0,15.0,5.0,0.5657951422900138,970
22,LaCaSa吐司 (高雄旗楠店),imre,2,"['台式', '三明治 / 吐司']",False,15.0,79.0,30.0,20.0,1.212802013314883,4356
23,SUBWAY (高雄建楠門市),a7td,2,['歐美'],False,15.0,79.0,15.0,5.0,0.5905946134014537,3190
24,爭鮮迴轉壽司 (楠梓店),x1cl,2,['日式'],False,15.0,79.0,15.0,5.0,0.6073294668022977,2452
25,炸魂雞排 (高雄楠梓店),z5ec,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,0.03544599063979118,3351
26,夜梟Nightingale 宵夜 (楠梓土庫店),rm72,2,['台式'],False,15.0,79.0,25.0,15.0,0.5263981302240046,839
27,禾家鮮魚湯24小時專賣店,f2kz,2,"['湯品', '便當', '台式']",False,15.0,79.0,15.0,5.0,0.9071597821415127,4418
28,斑鳩的窩 (高雄新楠店),j9ce,2,"['便當', '日式']",False,15.0,79.0,20.0,10.0,0.5306175224613219,1330
