,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (台南新營店),e0bq,2,"['披薩', '歐美']",False,19.0,79.0,10.0,5.0,0.5951065500767048,2591
1,早到晚到 (台南新營店),ca72,2,"['麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,10.0,5.0,0.6072810425791473,81
2,21PLUS、21風味館 (新營三民門市),qczu,3,"['歐美', '炸雞']",False,19.0,79.0,10.0,5.0,0.2929492168003881,61
3,來碗拉麵 (新營二店),fkuf,2,"['麵食', '日式']",False,19.0,79.0,10.0,5.0,0.7190079027809331,231
4,麻古茶坊 (台南新營店),rmvq,2,['飲料'],False,19.0,79.0,10.0,5.0,0.6134865004653692,548
5,八方雲集 (台南新營店),f9ms,2,"['台式', '餃子']",False,19.0,79.0,10.0,5.0,0.2440632405503769,729
6,三媽臭臭鍋 (新營中正店),i3ii,2,"['火鍋', '台式']",False,19.0,79.0,20.0,15.0,0.6331236496007462,1961
7,藝鍋物 (台南新營店),sqoz,2,"['火鍋', '台式']",False,19.0,79.0,25.0,20.0,0.49063516837332466,1020
8,麥當勞 (S154 台南新營店),p2su,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,2.1300551949888984,10026
9,迷客夏 Milksha (臺南新營店),e8ww,2,['飲料'],True,19.0,79.0,10.0,5.0,0.5318538712947374,1872
10,來雞特香雞排,d46w,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.38288028956430104,168
11,日船章魚小丸子 (台南新營店),e0mx,1,['日式'],False,19.0,79.0,10.0,5.0,0.5349526145397359,894
12,好津味羊肉店,imnn,2,"['湯品', '麵食', '台式']",False,19.0,79.0,10.0,5.0,0.935437666407014,20
13,85度C (台南新營店),ki23,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,10.0,5.0,0.4141883046770619,133
14,狀元廣東粥 (新營復興店),e2os,1,"['中式', '粥']",False,19.0,79.0,15.0,5.0,1.4067458851978183,1414
15,龍鳳東大門韓國料理,f5xb,2,['韓式'],False,19.0,79.0,15.0,10.0,0.3185411237366744,829
16,老李米糕,ewjl,2,['台式'],False,19.0,79.0,10.0,5.0,0.7040849665379845,217
17,小府城,ez5u,2,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.3289743203604341,1065
18,胖老爹美式炸雞 (台南新營店),e9ke,2,"['歐美', '炸雞']",False,19.0,79.0,20.0,15.0,0.4988894146978517,1573
19,首都碳烤,jqpg,2,['小吃'],False,19.0,79.0,15.0,5.0,0.9622822979114949,605
20,港式炒食,lckt,2,['港式'],False,19.0,79.0,15.0,10.0,0.3371097613672931,38
21,拿坡里 (新營店8413),slvt,3,"['披薩', '歐美', '炸雞']",False,19.0,79.0,15.0,10.0,0.2829874884642555,749
22,潮味決．湯滷專門店 (台南新營分社),c6ns,2,['台式'],False,19.0,79.0,15.0,5.0,1.3776851859673809,67
23,就是鬆餅 (新營總店),e8rv,1,['甜點'],False,19.0,79.0,10.0,5.0,0.4190534428588864,644
24,滿茶Montea (台南新營店),e3lb,1,['飲料'],False,19.0,79.0,10.0,5.0,0.3684436428466091,1573
25,十九甲雞排 (新營東興店),t8j7,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.9798230011863736,66
26,肯得福香雞排,jprl,2,"['小吃', '炸雞']",False,19.0,79.0,10.0,5.0,0.6467025767300327,101
27,品味宵夜,vd0n,2,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.7856979525062981,269
28,五井拉麵 (台南新營店),f1re,2,"['麵食', '日式']",False,19.0,79.0,10.0,5.0,0.5268987127781195,744
29,麻吉鹹水雞&麻辣雞,e1jk,2,['小吃'],False,19.0,79.0,10.0,5.0,0.5992713429379583,958
30,茶湯會 (新營復興店),e6jh,2,['飲料'],True,19.0,79.0,10.0,5.0,0.5399311977996262,1164
31,金茶伍手作茶飲 (台南新營店),j8uj,2,['飲料'],False,19.0,79.0,15.0,5.0,1.4045233459992807,1396
32,上榮新疆烤肉 (台南新營店),efli,2,['小吃'],False,19.0,79.0,15.0,10.0,0.7364593533973712,18
33,金虎麵食館,v2l5,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.9731619107815889,103
34,吳家紅茶冰 (新營復興店),e1tl,1,['飲料'],False,19.0,79.0,10.0,5.0,0.6989865993495643,1031
35,ㄚ桂美食,e2wq,1,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.358326535191323,1511
36,一芳水果茶 (台南新營復興店),a6mf,2,['飲料'],True,19.0,79.0,10.0,5.0,0.5846699985987356,1227
37,紅麥田優質原味炸雞 (台南新營店),pboo,2,"['小吃', '炸雞']",False,19.0,79.0,10.0,5.0,0.8102017938893811,87
38,新營豆花,iocq,1,['甜點'],False,19.0,79.0,15.0,10.0,0.4413188815134264,132
39,妙香茶飲,ohv0,1,['飲料'],False,19.0,79.0,10.0,5.0,0.4452334870086592,5
