,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,哈吉麻辣燙鍋燒專賣,szkz,2,"['麵食', '台式']",False,19.0,79.0,45.0,25.0,2.617702235851795,614
1,Pizza Hut必勝客 (台南善化店),j3ma,2,"['披薩', '歐美']",True,19.0,79.0,25.0,5.0,2.294783126829985,2476
2,Pasta Hut義大利麵 (台南善化店),xgya,2,"['歐美', '麵食']",False,19.0,79.0,30.0,10.0,2.293928940204383,42
3,台灣第一家鹽酥雞 (台南善化店),j7vi,2,"['小吃', '炸雞']",False,19.0,79.0,30.0,10.0,2.5988050199968504,3950
4,王樣,f7bj,2,"['麵食', '日式']",False,19.0,79.0,25.0,5.0,2.3556223997134635,2005
5,九鼎林豐 (台南善化店),f8ux,2,"['台式', '餃子']",False,19.0,79.0,25.0,10.0,2.261585501477811,2663
6,板塊牛排 (台南善化店),c3pl,2,"['歐美', '牛排']",False,19.0,79.0,25.0,5.0,2.8972715706446515,2303
7,壩頭關東煮,v5pn,2,"['小吃', '日式']",False,19.0,79.0,25.0,5.0,2.6500729351716332,1679
8,一家拉麵ラーメン,f8mz,2,"['麵食', '日式']",False,19.0,79.0,25.0,5.0,2.798233180556338,1642
9,玉竹根麵食館,i8ws,2,"['湯品', '麵食', '台式']",False,19.0,79.0,25.0,5.0,2.4507220246828987,2049
10,粥全廣東粥 (台南善化店),g3ry,2,"['中式', '粥']",False,19.0,79.0,25.0,5.0,2.5764233486660952,1800
11,美女&野獸雞排 (總店),s9j0,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,2.866057394299421,1027
12,烏弄 (台南善化店),n7tx,2,['飲料'],False,19.0,79.0,25.0,5.0,2.4031981354045286,1397
13,來碗拉麵 (台南善化店),f7xp,1,"['麵食', '日式']",False,19.0,79.0,25.0,5.0,2.3719846992545577,1741
14,大埔鐵板燒 (台南善化店),j6ai,2,"['鐵板燒', '台式']",False,19.0,79.0,35.0,15.0,2.60471106331284,3026
15,麻辣天后炒香鍋 (善化民權店),atea,2,['台式'],False,19.0,79.0,25.0,5.0,2.6168740975750513,69
16,NU PASTA (台南善化分店),f3tl,2,"['歐美', '麵食']",False,19.0,79.0,25.0,5.0,2.674630149359918,1514
17,香埕筒仔米糕,p3fd,2,"['湯品', '便當', '台式']",False,19.0,79.0,25.0,5.0,2.5315767457397422,787
18,麻古茶坊 (善化中山店),dsd9,2,['飲料'],False,19.0,79.0,25.0,5.0,2.3718936630768135,1137
19,三分春色 (善化中山店),tipj,2,['飲料'],False,19.0,79.0,25.0,5.0,2.329558653544965,163
20,大苑子 (善化中正店),s6za,2,['飲料'],False,19.0,79.0,25.0,5.0,2.4955774698002844,1039
21,潮味決．湯滷專門店 (台南善化分社),idym,2,['台式'],False,19.0,79.0,30.0,10.0,2.4067165144898564,55
22,恩廚,i4ve,2,['台式'],False,19.0,79.0,25.0,5.0,2.2861833553537334,251
23,胖老爹美式炸雞 (台南善化店),s5te,2,"['歐美', '炸雞']",False,19.0,79.0,35.0,15.0,2.754374084067709,2151
24,雅饌廣東粥,t5qm,1,"['中式', '粥']",False,19.0,79.0,25.0,5.0,2.3155057894886384,919
25,甲嘴王肉圓 (台南善化店),k9ly,2,['小吃'],False,19.0,79.0,25.0,5.0,2.4954021019072967,1115
26,雞道_輝哥的店 鹽水雞/麻辣雞,t0kh,2,['小吃'],False,19.0,79.0,25.0,5.0,2.327073123437952,1018
27,魯米將滷味本舖 (台南善化店),i7nv,2,['小吃'],False,19.0,79.0,25.0,5.0,2.8671020081703156,887
28,惡魔雞排 (台南善化店),f7pf,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,10.0,2.440019244665149,889
29,藝鍋物 (台南善化店),k0gj,2,"['火鍋', '台式']",False,19.0,79.0,40.0,20.0,2.9176102398769745,2095
30,嚐鮮虱目魚粥,g7tf,2,"['湯品', '粥', '台式']",False,19.0,79.0,25.0,5.0,2.3492754304382726,906
31,珍芋軒3Q凍圓 (台南善化店),u9hb,1,['甜點'],False,19.0,79.0,25.0,5.0,2.5370652812167904,1080
32,金饌食坊,zhiy,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,20.0,2.890032396218804,1679
33,台灣楊雞創意炸物專賣店,pjhg,2,"['小吃', '炸雞']",False,19.0,79.0,25.0,5.0,2.5885065485661722,251
34,鍋就好臭臭鍋 (台南善化店),f5fl,2,"['火鍋', '台式']",False,19.0,79.0,40.0,20.0,2.6041411387436235,2319
35,綠益複合式餐飲,n1kr,2,['台式'],False,19.0,79.0,25.0,10.0,2.2981108970099373,1362
36,文昌海南雞飯 (台南善化店),aej3,2,"['便當', '東南亞']",False,19.0,79.0,25.0,5.0,2.6396918039900745,407
37,善成魯味,n14t,2,['小吃'],False,19.0,79.0,25.0,5.0,2.679310853517594,530
