,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (台南永康店),z2it,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,2.043848296161418,3657
1,八辛吉手作麻辣 (永康總店),iyb5,2,['小吃'],False,19.0,79.0,20.0,5.0,1.8465387160849291,1066
2,加依軒湯包 (永康正強店),plwy,2,"['港式', '餃子']",False,19.0,79.0,25.0,10.0,2.726884897891479,355
3,珍煮丹 (台南大灣店),rmna,2,['飲料'],False,19.0,79.0,20.0,5.0,2.9594430984595363,222
4,大碗公冰·甜品 (台南永康店),e4yc,2,['甜點'],False,19.0,79.0,30.0,15.0,3.088848880053582,1657
5,金茶伍手作茶飲 (台南崑山店),o2ze,2,['飲料'],False,19.0,79.0,20.0,5.0,2.7789286982033454,888
6,清心福全 (台南永康店),a0mh,1,['飲料'],False,19.0,79.0,20.0,5.0,2.4111498424531788,539
7,鶴茶樓 (永康永明店),k9h4,2,['飲料'],False,19.0,79.0,20.0,5.0,1.8169139479260952,1121
8,八木茶飲 (台南崑大店),h7ei,1,['飲料'],False,19.0,79.0,25.0,5.0,3.1450873017637506,88
9,慕春職人茶飲 (台南永康店),q40k,2,['飲料'],False,19.0,79.0,20.0,5.0,2.1694380864173612,198
10,珍好味臭臭鍋 (台南總店),u4rg,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,3.896751638173465,5470
11,三媽臭臭鍋 (台南大灣店),dgii,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,0.4907231918657442,331
12,雙醬咖哩 (西勢富強店),m3lj,2,"['咖哩', '日式']",False,19.0,79.0,15.0,5.0,0.2661390378427922,841
13,NT牛排館,g6oj,2,"['台式', '牛排']",False,19.0,79.0,15.0,5.0,0.9141279498911543,1382
14,麥當勞 (S218 永康中山店),s2sq,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,2.27571634831627,8051
15,早到晚到 (台南永康店),bx3h,2,['台式'],False,19.0,79.0,25.0,10.0,3.1474285294583764,1100
