,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (高雄小港店),b0ah,2,"['披薩', '歐美']",False,15.0,79.0,20.0,10.0,0.5837169547461876,3658
1,鶴茶樓 (鳳山五甲店),ywj6,2,['飲料'],False,15.0,79.0,25.0,5.0,4.315532380659026,1432
2,捌捌迷你土雞鍋 (高雄小港店),xfrg,2,"['火鍋', '台式']",False,15.0,79.0,25.0,15.0,0.574909684505719,538
3,鍋底撈滷味 (高雄小港店),b2el,2,['小吃'],False,15.0,79.0,15.0,5.0,0.4895095396233075,2602
4,慕春職人茶飲,p0ij,2,"['麵食', '台式']",False,15.0,79.0,25.0,15.0,0.8602579598233442,1563
5,武林茶 (高雄小港店),uea8,2,['飲料'],False,15.0,79.0,15.0,10.0,0.4797418238215196,64
6,九月手作茶 (小港漢民店),r742,1,['飲料'],False,15.0,79.0,15.0,5.0,0.20596829876306436,36
7,春井茶飲,jxo9,1,['飲料'],False,15.0,79.0,20.0,10.0,0.6698708081514272,5
8,九月原作茶飲 (小港桂陽店),i6e2,1,['飲料'],False,15.0,79.0,20.0,5.0,1.7370559757437936,70
9,茶十二叡曲 (鳳山頂庄店),vwjx,2,['飲料'],False,15.0,79.0,20.0,5.0,2.419481634515281,210
10,蛋餅先生 (小港宏平店),yr8g,2,['台式'],False,15.0,79.0,15.0,5.0,0.30237101154593776,90
11,無疆滷味 (小港總店),pagz,2,['小吃'],False,15.0,79.0,20.0,10.0,0.490068926299656,87
12,咕嚕叫土司 (高雄小港店),e1nm,2,['台式'],False,15.0,79.0,15.0,5.0,0.586970457058729,4009
13,八方雲集 (高雄漢民店),d7lq,2,"['台式', '餃子']",False,15.0,79.0,15.0,10.0,0.11539337050297543,3324
14,麥當勞 (S198 高雄沿海店),b5fv,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,0.9733520720678487,14179
15,福樺鴨肉飯 (高雄小港店),c9mb,2,"['湯品', '便當', '台式']",False,15.0,79.0,15.0,5.0,0.6916125161595721,3997
16,那一年,sgsa,2,['台式'],False,15.0,79.0,15.0,5.0,0.35818696107290204,179
17,永瑄牛排 (高雄小港店),p0ei,2,"['台式', '牛排']",False,15.0,79.0,15.0,5.0,0.25044923926555696,1957
18,桶一天下 (高雄小港店),b5br,2,['小吃'],False,15.0,79.0,15.0,5.0,0.4644104289049424,2828
19,咚雞咚雞韓式炸雞 (高雄小港店),nk74,2,"['韓式', '炸雞']",False,15.0,79.0,15.0,10.0,0.47039201200030495,475
20,上榮新疆烤肉串 (高雄小港店),e5zo,2,['小吃'],False,15.0,79.0,20.0,10.0,0.4712162183824205,1547
21,肯德基KFC炸雞漢堡店 (高雄沿海店),b4rc,2,"['甜點', '漢堡', '歐美', '炸雞']",True,15.0,79.0,15.0,5.0,0.7730303722691723,2887
22,早到晚到 (高雄小港店),bwjy,2,"['麵食', '台式', '三明治 / 吐司']",False,15.0,79.0,20.0,10.0,1.0249903386190347,191
23,摩斯漢堡Mos Burger (小港漢民店),f1sj,2,"['漢堡', '日式']",False,15.0,79.0,25.0,15.0,0.06563898370147407,3765
24,大埔鐵板燒 (高雄漢民店),ul6s,2,"['鐵板燒', '台式']",False,15.0,79.0,15.0,5.0,0.3736759742861453,1281
25,爭鮮迴轉壽司 (小港店),j9hl,2,['日式'],False,15.0,79.0,15.0,5.0,0.6676267810992353,2098
26,麻古茶坊 (高雄漢民店),bsgq,2,['飲料'],False,15.0,79.0,15.0,5.0,0.12703873315142622,1307
27,Louisa 路易莎 (高雄小港店),m1i8,2,"['咖啡', '蛋糕', '歐美']",False,15.0,79.0,15.0,5.0,0.08752733736005541,268
28,大碗公冰·甜品 (高雄小港店),b7sn,2,['甜點'],False,15.0,79.0,20.0,10.0,0.39755373530996474,2077
29,圓石禪飲 (高雄小港金府店),a1kt,2,['飲料'],False,15.0,79.0,15.0,5.0,0.4751585451795992,3473
30,21PLUS、21風味館 (小港漢民門市),cg0m,3,"['歐美', '炸雞']",False,15.0,79.0,15.0,5.0,0.5342660979224226,45
31,烏弄 (高雄小港店),a7eb,2,['飲料'],False,15.0,79.0,15.0,5.0,0.29208921058948484,2678
32,三分春色 (小港漢民店),f0oa,2,['飲料'],False,15.0,79.0,15.0,5.0,0.1682583141388762,2760
33,四口田手作麻辣專門 (高雄小港店),a4zv,2,['台式'],False,15.0,79.0,15.0,5.0,0.466723594111083,1682
34,尚好綠豆芋頭手作飲品,b0tc,2,['甜點'],False,15.0,79.0,15.0,5.0,0.47075406302565903,1183
35,迷客夏 Milksha (高雄小港店),bcgx,2,['飲料'],False,15.0,79.0,15.0,5.0,0.19636793486603435,358
36,老賴茶棧 (小港漢民店),h03m,2,['飲料'],False,15.0,79.0,15.0,5.0,0.6128220767528618,55
37,小港牛排,jaxk,2,"['台式', '牛排']",False,15.0,79.0,15.0,5.0,0.7062245664608822,435
38,3柒21 手作茶飲,okwm,2,['飲料'],False,15.0,79.0,15.0,5.0,0.40916926526164626,327
39,多那之 (高雄小港店),b1jr,2,"['甜點', '咖啡', '蛋糕']",True,15.0,79.0,15.0,5.0,0.4983849907345842,878
40,劉家肉粽 滷肉飯,ze6c,2,['台式'],False,15.0,79.0,15.0,5.0,0.1349474722472542,42
41,小茶齋 (小港崇文店),jf5w,2,['飲料'],False,15.0,79.0,15.0,5.0,0.770817159671539,730
42,金府火雞肉飯,b4rl,2,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,5.0,0.4750166659133808,1573
43,八味元香香雞,akmr,1,"['小吃', '炸雞']",False,15.0,79.0,15.0,10.0,0.21420223948163716,56
44,佬岡,dmh9,2,"['歐美', '麵食']",False,15.0,79.0,15.0,5.0,0.5095084310447108,420
45,台灣第一家鹽酥雞 (高雄小港桂林店),z7ok,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,1.773857528643785,2767
46,廟口勝鹹水雞 (高雄金府店),u4ro,2,['小吃'],False,15.0,79.0,15.0,5.0,0.5109728362993013,866
47,88麻辣鍋 (高雄小港漢民店),a8kr,2,"['火鍋', '台式']",False,15.0,79.0,30.0,20.0,0.8670063928834585,2731
48,鶴茶樓 (鳳山五甲店),ywj6,2,['飲料'],False,15.0,79.0,25.0,5.0,4.315532380659026,1432
49,捌捌迷你土雞鍋 (高雄小港店),xfrg,2,"['火鍋', '台式']",False,15.0,79.0,25.0,15.0,0.574909684505719,538
50,鍋底撈滷味 (高雄小港店),b2el,2,['小吃'],False,15.0,79.0,15.0,5.0,0.4895095396233075,2602
51,慕春職人茶飲,p0ij,2,"['麵食', '台式']",False,15.0,79.0,25.0,15.0,0.8602579598233442,1563
52,武林茶 (高雄小港店),uea8,2,['飲料'],False,15.0,79.0,15.0,10.0,0.4797418238215196,64
53,九月手作茶 (小港漢民店),r742,1,['飲料'],False,15.0,79.0,15.0,5.0,0.20596829876306436,36
54,春井茶飲,jxo9,1,['飲料'],False,15.0,79.0,20.0,10.0,0.6698708081514272,5
55,九月原作茶飲 (小港桂陽店),i6e2,1,['飲料'],False,15.0,79.0,20.0,5.0,1.7370559757437936,70
56,茶十二叡曲 (鳳山頂庄店),vwjx,2,['飲料'],False,15.0,79.0,20.0,5.0,2.419481634515281,210
57,蛋餅先生 (小港宏平店),yr8g,2,['台式'],False,15.0,79.0,15.0,5.0,0.30237101154593776,90
58,無疆滷味 (小港總店),pagz,2,['小吃'],False,15.0,79.0,20.0,10.0,0.490068926299656,87
59,咕嚕叫土司 (高雄小港店),e1nm,2,['台式'],False,15.0,79.0,15.0,5.0,0.586970457058729,4009
60,八方雲集 (高雄漢民店),d7lq,2,"['台式', '餃子']",False,15.0,79.0,15.0,10.0,0.11539337050297543,3324
61,麥當勞 (S198 高雄沿海店),b5fv,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,0.9733520720678487,14179
62,福樺鴨肉飯 (高雄小港店),c9mb,2,"['湯品', '便當', '台式']",False,15.0,79.0,15.0,5.0,0.6916125161595721,3997
63,那一年,sgsa,2,['台式'],False,15.0,79.0,15.0,5.0,0.35818696107290204,179
64,永瑄牛排 (高雄小港店),p0ei,2,"['台式', '牛排']",False,15.0,79.0,15.0,5.0,0.25044923926555696,1957
65,桶一天下 (高雄小港店),b5br,2,['小吃'],False,15.0,79.0,15.0,5.0,0.4644104289049424,2828
66,咚雞咚雞韓式炸雞 (高雄小港店),nk74,2,"['韓式', '炸雞']",False,15.0,79.0,15.0,10.0,0.47039201200030495,475
67,上榮新疆烤肉串 (高雄小港店),e5zo,2,['小吃'],False,15.0,79.0,20.0,10.0,0.4712162183824205,1547
68,肯德基KFC炸雞漢堡店 (高雄沿海店),b4rc,2,"['甜點', '漢堡', '歐美', '炸雞']",True,15.0,79.0,15.0,5.0,0.7730303722691723,2887
69,早到晚到 (高雄小港店),bwjy,2,"['麵食', '台式', '三明治 / 吐司']",False,15.0,79.0,20.0,10.0,1.0249903386190347,191
70,摩斯漢堡Mos Burger (小港漢民店),f1sj,2,"['漢堡', '日式']",False,15.0,79.0,25.0,15.0,0.06563898370147407,3765
71,大埔鐵板燒 (高雄漢民店),ul6s,2,"['鐵板燒', '台式']",False,15.0,79.0,15.0,5.0,0.3736759742861453,1281
72,爭鮮迴轉壽司 (小港店),j9hl,2,['日式'],False,15.0,79.0,15.0,5.0,0.6676267810992353,2098
73,麻古茶坊 (高雄漢民店),bsgq,2,['飲料'],False,15.0,79.0,15.0,5.0,0.12703873315142622,1307
74,Louisa 路易莎 (高雄小港店),m1i8,2,"['咖啡', '蛋糕', '歐美']",False,15.0,79.0,15.0,5.0,0.08752733736005541,268
75,大碗公冰·甜品 (高雄小港店),b7sn,2,['甜點'],False,15.0,79.0,20.0,10.0,0.39755373530996474,2077
76,圓石禪飲 (高雄小港金府店),a1kt,2,['飲料'],False,15.0,79.0,15.0,5.0,0.4751585451795992,3473
77,21PLUS、21風味館 (小港漢民門市),cg0m,3,"['歐美', '炸雞']",False,15.0,79.0,15.0,5.0,0.5342660979224226,45
78,烏弄 (高雄小港店),a7eb,2,['飲料'],False,15.0,79.0,15.0,5.0,0.29208921058948484,2678
79,三分春色 (小港漢民店),f0oa,2,['飲料'],False,15.0,79.0,15.0,5.0,0.1682583141388762,2760
80,四口田手作麻辣專門 (高雄小港店),a4zv,2,['台式'],False,15.0,79.0,15.0,5.0,0.466723594111083,1682
81,尚好綠豆芋頭手作飲品,b0tc,2,['甜點'],False,15.0,79.0,15.0,5.0,0.47075406302565903,1183
82,迷客夏 Milksha (高雄小港店),bcgx,2,['飲料'],False,15.0,79.0,15.0,5.0,0.19636793486603435,358
83,老賴茶棧 (小港漢民店),h03m,2,['飲料'],False,15.0,79.0,15.0,5.0,0.6128220767528618,55
84,小港牛排,jaxk,2,"['台式', '牛排']",False,15.0,79.0,15.0,5.0,0.7062245664608822,435
85,3柒21 手作茶飲,okwm,2,['飲料'],False,15.0,79.0,15.0,5.0,0.40916926526164626,327
86,多那之 (高雄小港店),b1jr,2,"['甜點', '咖啡', '蛋糕']",True,15.0,79.0,15.0,5.0,0.4983849907345842,878
87,劉家肉粽 滷肉飯,ze6c,2,['台式'],False,15.0,79.0,15.0,5.0,0.1349474722472542,42
88,小茶齋 (小港崇文店),jf5w,2,['飲料'],False,15.0,79.0,15.0,5.0,0.770817159671539,730
89,金府火雞肉飯,b4rl,2,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,5.0,0.4750166659133808,1573
90,八味元香香雞,akmr,1,"['小吃', '炸雞']",False,15.0,79.0,15.0,10.0,0.21420223948163716,56
91,佬岡,dmh9,2,"['歐美', '麵食']",False,15.0,79.0,15.0,5.0,0.5095084310447108,420
92,台灣第一家鹽酥雞 (高雄小港桂林店),z7ok,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,1.773857528643785,2767
93,廟口勝鹹水雞 (高雄金府店),u4ro,2,['小吃'],False,15.0,79.0,15.0,5.0,0.5109728362993013,866
94,88麻辣鍋 (高雄小港漢民店),a8kr,2,"['火鍋', '台式']",False,15.0,79.0,30.0,20.0,0.8670063928834585,2731
95,好食雞鹹酥雞,s6gx,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,1.656093968784364,363
96,洪記蒸餃 (高雄小港店),lpti,2,"['台式', '餃子']",False,15.0,79.0,15.0,5.0,0.4963713221099047,445
97,天才老爸、雙蛋蚵仔煎,ad1u,2,"['湯品', '小吃']",False,15.0,79.0,15.0,5.0,0.37316807970208976,187
98,鮮茶道 (小港平治店),h8ui,2,['飲料'],False,15.0,79.0,15.0,5.0,0.4415774995071355,1139
99,一鼎滷味 (高雄小港店),b4qo,1,['小吃'],False,15.0,79.0,15.0,5.0,0.4665101863082037,753
100,大囍門燒肉韓食,mzrn,2,"['韓式', '火鍋']",False,15.0,79.0,30.0,20.0,0.3617410635314324,791
101,食扒穗 (高雄小港店),a6jr,2,"['麵食', '台式']",False,15.0,79.0,30.0,20.0,0.5182807435850881,2297
102,3Q脆皮雞排 (高雄小港店),j2s4,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,1.1790239940255076,60
103,春陽茶事 (小港漢民店),ynuc,2,['飲料'],False,15.0,79.0,15.0,5.0,0.16065493162019226,739
104,大鵬鍋燒意麵,x1m5,2,"['麵食', '台式']",False,15.0,79.0,25.0,15.0,0.1690698440389135,85
105,芋花,jrgo,2,['甜點'],False,15.0,79.0,15.0,5.0,0.3808459604647136,68
106,奇奇蚵仔煎-小港漢民分棧,doht,2,"['麵食', '台式']",False,15.0,79.0,25.0,15.0,0.307284797991001,558
107,初牧乳飲製造所 (小港大鵬店),vdaz,2,['飲料'],False,15.0,79.0,15.0,5.0,0.12290687537755042,143
108,虎爺雞飯 (高雄小港店),a8cl,2,['東南亞'],False,15.0,79.0,20.0,5.0,1.8336147951318384,4472
109,小港人Guava&Juice,ctrv,2,['台式'],False,15.0,79.0,20.0,10.0,0.33443361925035614,218
110,豆賞傳統涼水舖 (小港金府店),b2ng,1,['甜點'],False,15.0,79.0,15.0,10.0,0.46426422149655133,1017
