,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,胖老爹美式炸雞 (台南東寧店),m8pq,2,"['歐美', '炸雞']",True,19.0,79.0,30.0,15.0,4.116089327341357,1807
1,黑盤PASTA崑山店,d50h,2,"['歐美', '麵食']",False,19.0,79.0,20.0,10.0,1.598777133088865,901
2,三媽臭臭鍋 (永康夢時代店),j0am,2,"['火鍋', '台式']",False,19.0,79.0,35.0,15.0,3.2860740795541417,2642
3,八辛吉手作麻辣 (永康總店),iyb5,2,['小吃'],False,19.0,79.0,20.0,5.0,2.395724278530461,1066
4,珍煮丹 (台南大灣店),rmna,2,['飲料'],False,19.0,79.0,20.0,5.0,1.3373971179648634,222
5,鮮自然 (台南裕信門市),y8fb,1,['飲料'],False,19.0,79.0,20.0,5.0,3.2052319538097556,1231
6,大碗公冰·甜品 (台南永康店),e4yc,2,['甜點'],False,19.0,79.0,30.0,15.0,2.331664986750271,1657
7,白巷子 (仁德中正店),hxmh,2,['飲料'],False,19.0,79.0,25.0,5.0,4.2835073338009995,860
8,鮮自然 (台南中二門市),a3vr,2,['飲料'],False,19.0,79.0,25.0,5.0,4.418153097416799,832
9,四海遊龍 (永康崑大店),z7fs,2,"['台式', '餃子']",False,19.0,79.0,20.0,5.0,1.6050915230254164,4223
10,鴨飽鴨肉飯 (台南總店),s5yj,2,"['便當', '台式']",True,19.0,79.0,25.0,5.0,3.8552826951499988,5843
11,有吉可樂-日式炸物咖哩丼飯定食,c9bj,2,"['咖哩', '日式']",False,19.0,79.0,25.0,5.0,3.884002954910718,255
12,珍好味臭臭鍋 (台南總店),u4rg,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,3.273505330743469,5470
13,再睡5分鐘 (台南南紡店),xodm,2,['飲料'],False,19.0,79.0,25.0,5.0,3.859274012673015,441
14,斑鳩的窩 (台南仁德店),j4am,2,"['便當', '日式']",False,19.0,79.0,30.0,10.0,4.2312072192618775,1188
15,早到晚到 (台南永康店),bx3h,2,['台式'],False,19.0,79.0,25.0,10.0,1.548732991418777,1100
16,麥當勞 (S351 永康大灣店),z3la,2,"['漢堡', '歐美']",False,19.0,79.0,20.0,10.0,1.0423491279813089,8888
17,大埔鐵板燒 (台南永大店),c5yb,2,"['鐵板燒', '台式']",False,19.0,79.0,15.0,5.0,0.5878449222917325,1979
18,阿亮香雞排/鍋燒 (台南民族店),rte9,2,"['麵食', '台式', '炸雞']",False,19.0,79.0,15.0,5.0,0.3869259852986395,673
19,白巷子 (永康大灣店),e5d1,1,['飲料'],False,19.0,79.0,15.0,5.0,0.06565271770275376,1177
20,老闆不會喝,h9je,2,['台式'],False,19.0,79.0,20.0,10.0,0.9111464022973857,919
21,NT牛排館,g6oj,2,"['台式', '牛排']",False,19.0,79.0,15.0,5.0,0.982292538817158,1382
22,阿力香雞排 (台南崑山店),stry,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,5.0,0.9381215203526089,59
23,首戶牛排 (台南永大店),si29,2,"['歐美', '牛排']",False,19.0,79.0,15.0,5.0,0.8625821997419344,340
24,爭鮮迴轉壽司 (大灣店),c9hp,2,['日式'],False,19.0,79.0,15.0,5.0,1.0516109947777492,1397
25,新疆烤肉,b5bc,2,['小吃'],False,19.0,79.0,15.0,5.0,0.38966982624496016,1030
26,騰之雞排專門店 (台南永康店),njxh,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,0.10865564336369048,49
27,熊記牛肉麵,b7dp,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,0.8524383943831333,1810
28,杜芳子古味茶鋪 (台南大灣店),kik0,2,['飲料'],False,19.0,79.0,15.0,5.0,1.0583805607195609,149
29,三媽臭臭鍋 (台南大灣店),dgii,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,1.2500694827384464,331
30,神座拉麵 (台南崑山店),b2mo,2,"['麵食', '日式']",False,19.0,79.0,20.0,10.0,1.472415088195743,2015
31,Pizza Hut必勝客 (永康大灣店),z7de,2,"['披薩', '歐美']",False,19.0,79.0,20.0,10.0,1.1768528119847124,2283
32,八方雲集 (永康崑大店),d8jg,2,"['台式', '餃子']",False,19.0,79.0,20.0,10.0,1.5089004012339626,694
33,小上海 (台南崑大店),pv4e,1,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,1.5020370880757246,483
34,老司雞炸物,i9g9,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,1.5756368574148125,845
35,食全家庭小炒,p4cu,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.0887312172761985,1499
36,鷄邀雞肉飯（台南正強店）,aa8k,2,"['湯品', '台式']",False,19.0,79.0,30.0,15.0,3.1012266177893175,1653
37,六扇門 (台南永大店),ng59,2,"['火鍋', '台式']",True,19.0,79.0,30.0,20.0,0.8158041002072782,1127
38,識好茶 (台南永大店),cu9f,2,['飲料'],False,19.0,79.0,15.0,5.0,0.6747708314666563,101
39,天品香豆腐,jz24,1,['小吃'],False,19.0,79.0,20.0,10.0,1.2368626094997073,83
40,郭家鱔魚意麵,i6pc,2,"['湯品', '麵食', '台式']",False,19.0,79.0,20.0,5.0,2.4934877224440255,1621
41,華夏爆漿湯包,ts6b,2,['中式'],False,19.0,79.0,15.0,10.0,0.24159403106530328,237
42,金茶伍手作茶飲 (台南崑山店),o2ze,2,['飲料'],False,19.0,79.0,15.0,5.0,1.1904827242353693,888
43,鮮茶道 (永康大灣店),a4cj,2,['飲料'],False,19.0,79.0,15.0,5.0,0.3974000454877125,481
44,稼品虱目魚,s4e0,2,"['湯品', '麵食', '粥', '台式']",False,19.0,79.0,20.0,10.0,0.8367633148583504,53
