,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,好食丼 (高雄興中店),n445,2,['日式'],False,15.0,79.0,20.0,5.0,2.516973935885605,462
1,滷味先生 (鳳山自強店),j4vn,2,['小吃'],False,15.0,79.0,15.0,5.0,0.54697313970128,1495
2,捌捌迷你土雞鍋 (鳳山青年店),x6eg,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,4.396327183286275,2465
3,三十年老店雞肉飯,e0se,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,3.5126363733418153,1706
4,鶴茶樓 (鳳山五甲店),ywj6,2,['飲料'],False,15.0,79.0,15.0,5.0,0.7711652118350207,1432
5,王記牛肉麵,y6vy,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.7538863594954166,3295
6,蝌蚪大廟口塩水雞 (苓雅自強店),k4qt,2,['小吃'],False,15.0,79.0,25.0,5.0,3.3908450415476823,349
7,臨門一餃 (高雄苓雅店),o8xo,2,['台式'],False,15.0,79.0,25.0,10.0,2.496165943920635,87
8,捌捌迷你土雞鍋 (高雄小港店),xfrg,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,4.54725094070544,538
9,鮮茶道 (前鎮復興店),b8qf,1,['飲料'],False,15.0,79.0,20.0,5.0,2.0613750166569758,585
10,頂呱呱TKK (SKM Park店),dtlf,2,"['歐美', '炸雞']",False,15.0,79.0,40.0,20.0,1.9618737059934945,40
11,紐西蘭牛排,r9sq,2,"['歐美', '牛排']",False,15.0,79.0,25.0,5.0,4.447447553310748,6
12,蝦桶 Shrimp Master,vg87,3,['歐美'],False,15.0,79.0,30.0,10.0,3.6329368655574976,4
13,紅鼻子豬腳 (高雄青年店),r9sp,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,3.3722000980474105,1478
14,阿美海產,v8l8,3,"['湯品', '台式']",False,15.0,79.0,20.0,5.0,2.702381538142146,248
15,陳記手工蒸餃鴨肉羹,dhcd,2,"['湯品', '台式']",False,15.0,79.0,25.0,5.0,3.3823101249266427,368
16,肉肉先生,m88x,3,"['歐美', '牛排']",False,15.0,79.0,25.0,10.0,3.264438277898164,36
17,川醉湘麻辣燙 (鳳山新富店),gass,2,['小吃'],False,15.0,79.0,25.0,10.0,2.7062941534587948,101
18,王哥陽春麵傳奇,g0xw,2,"['麵食', '台式']",False,15.0,79.0,35.0,15.0,3.646904871242276,560
19,饈饈火鍋,d215,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,3.275006655801105,16
20,好味羊肉店,uhdd,2,"['湯品', '便當', '台式']",False,15.0,79.0,15.0,5.0,0.13593432119028862,749
21,235巷義大利麵 (高雄新光店),e4ek,2,"['歐美', '麵食']",False,15.0,79.0,20.0,5.0,2.434895724475095,7853
22,咕嚕咕嚕家うちりょうり (鳳山五甲店),kzkj,3,['日式'],False,15.0,79.0,15.0,5.0,0.9486133267667686,459
23,金鼎牛肉拉麵總店,v9ow,2,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,5.0,0.8452867908502641,829
24,大亨牛排 (高雄武慶店),vdrn,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,1.3579274623264177,924
25,牛小弟牛排 (高雄忠孝店),ry0c,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,2.945983386166661,629
26,原龍羊肉火鍋 (高雄一心總店),zur9,2,"['湯品', '火鍋', '台式']",False,15.0,79.0,30.0,15.0,2.1770908283113957,327
27,極品豚骨拉麵總店,r0hr,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.9625992700139987,384
28,大吉鐵板燒 (高雄三多店),oo9q,2,"['鐵板燒', '台式']",False,15.0,79.0,20.0,5.0,2.149256896888897,855
29,正義蚵仔麵線 (高雄苓雅店),ruo8,2,"['麵食', '小吃']",False,15.0,79.0,25.0,5.0,3.416640932900814,970
30,洪記蒸餃 (高雄忠孝店),d1z5,2,"['湯品', '台式']",False,15.0,79.0,35.0,20.0,2.9569306001362086,245
31,臥龍拉麵 (高雄林森店),flbu,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.4554554053115734,36
32,包手 (前金中華店),l32h,1,['台式'],False,15.0,79.0,25.0,10.0,3.6052888093110544,338
33,威廉泰爾義式鄉村料理餐坊,a8vf,3,"['歐美', '麵食']",False,15.0,79.0,25.0,10.0,3.8438293446462173,941
34,鳳山鴨肉興,l3lo,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,5.0,4.125079152424152,818
35,中日亭日式料理,bewo,3,['日式'],False,15.0,79.0,25.0,10.0,2.7635642447711053,45
36,田記豆漿 (高雄忠孝店),l2hz,2,['小吃'],True,15.0,79.0,25.0,5.0,3.8587160295742025,447
37,麥當勞 (S289 高雄瑞隆店),m1lv,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,0.6055580251605711,11975
38,王記牛肉拉麵 (前鎮瑞隆店),r3qy,2,"['湯品', '麵食', '台式']",False,15.0,79.0,15.0,5.0,0.6648390717573707,2318
