,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,水巷茶弄 (左營華夏店),z6ll,2,['飲料'],True,15.0,79.0,15.0,5.0,0.7988125883460732,3921
1,水巷茶弄 (左營富國店),z0mq,2,['飲料'],False,15.0,79.0,20.0,5.0,2.107351346984013,3590
2,玖玖迷你土雞鍋 (高雄左營華夏店),eqj5,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,1.8119733910837925,418
3,肯德基KFC炸雞漢堡店 (高雄崇德店),a8tv,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,20.0,5.0,1.688275692040795,2852
4,春陽茶事 (高雄鼎中店),x1tr,2,['飲料'],False,15.0,79.0,20.0,5.0,1.688152941038737,1604
5,捌捌迷你土雞鍋 (三民鼎中店),e2ft,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,2.189857553018909,2741
6,美之鄉台灣小吃,e9nz,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,10.0,2.156491416980408,702
7,拉麵亭,y5bd,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,1.7455773904813514,2562
8,夯仔內麵食館,e9jk,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.9822636686979145,2660
9,水雲朵DrinkStore (鼓山瑞豐店),uej4,2,['飲料'],False,15.0,79.0,20.0,5.0,2.6630199622373105,67
10,大華牛排 (高雄左營店),wgu2,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,1.9711077809135642,91
11,燈塔美式酒館,lq65,3,"['披薩', '漢堡', '歐美', '麵食']",False,15.0,79.0,45.0,30.0,2.3538179146355858,9
12,吃飯店料理亭,fupo,3,"['湯品', '台式']",False,15.0,79.0,40.0,20.0,3.2649981060816975,3
13,港式聞雞起爐 (高雄左營店),v64g,3,"['火鍋', '港式']",False,15.0,79.0,30.0,15.0,2.367451811691171,0
14,阿大土司 (高雄鼎中總店),b3aa,2,['台式'],False,15.0,79.0,20.0,5.0,2.0981210817947678,6031
15,阿智喝茶 (高雄重愛店),a3if,1,['飲料'],True,15.0,79.0,15.0,5.0,0.22713150907578464,1411
16,大姐頭麵館 (左營富民店),nkd1,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.830837545854843,2464
17,蛋餅先生 (左營重信店),huft,2,['台式'],False,15.0,79.0,20.0,5.0,0.8321494117244795,160
18,牛小弟牛排 (高雄左營店),t7c8,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,2.8371337547526836,436
19,禾町無煙炭火燒肉,bkll,2,['日式'],False,15.0,79.0,25.0,10.0,2.8312831506859966,632
20,紅鼻子豬腳 (高雄仁雄店),furk,2,"['湯品', '便當', '台式']",False,15.0,79.0,25.0,5.0,3.532441847858329,925
21,巴蜀大將四川麻辣小火鍋·鍋物,oqlc,2,"['中式', '火鍋']",False,15.0,79.0,35.0,15.0,2.703845107735559,416
22,飛天甕缸雞休閒餐廳,da1g,3,['台式'],False,15.0,79.0,25.0,5.0,3.615040628822196,18
23,235巷義大利麵 (高雄巨蛋富國店),y3we,2,"['歐美', '麵食']",False,15.0,79.0,35.0,20.0,2.3161579476039584,7597
24,田記豆漿 (高雄至聖店),s5ay,2,['小吃'],True,15.0,79.0,25.0,10.0,2.8251061203627637,900
25,希拉麵,bqvp,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.2472080455394403,137
26,阿杜皇家泰式料理 (左營明誠店),woul,3,"['便當', '東南亞']",False,15.0,79.0,35.0,15.0,2.7446304567742352,77
27,新台灣原味 (鼓山美明店),q7zu,3,"['湯品', '台式']",True,15.0,79.0,25.0,5.0,3.568905957904659,814
28,華寧麻辣火鍋,zpgk,3,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,2.231069399100929,60
29,阿榮海鮮鵝肉,bva4,3,['台式'],False,15.0,79.0,50.0,30.0,2.718798500332325,2
30,麥當勞 (S458 高雄民族店),b1ig,2,"['漢堡', '歐美']",False,15.0,79.0,20.0,10.0,0.3140705808751833,6753
31,好食丼,n3ot,2,['日式'],False,15.0,79.0,20.0,5.0,1.6335430310389705,3919
32,華饌湯包麵食館 (左營文信店),duwa,2,['中式'],False,15.0,79.0,25.0,5.0,2.625891634652693,1308
33,韓發韓式豆腐鍋 (左營重立店),s7rq,2,"['韓式', '火鍋', '炸雞']",False,15.0,79.0,25.0,15.0,0.8303885817123465,440
34,58炒飯 (高雄左營店),x3mj,2,"['湯品', '麵食', '台式']",False,15.0,79.0,35.0,25.0,0.6018409820358628,8066
35,Pizza Hut必勝客 (高雄榮總店),y5od,2,"['披薩', '歐美']",False,15.0,79.0,20.0,10.0,0.6152203628889318,2886
36,魯都香 (高雄自由店),dpqu,2,['小吃'],False,15.0,79.0,20.0,10.0,0.3074605256764559,112
37,正好吃松鹽酥雞 (高雄文自店),x4sr,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,0.8162808839764916,849
38,豪棧鹽酥雞、滷味 (左營重愛店),u3sa,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,0.24635280698727066,509
39,羊窩窩一碗小羊肉 (仁武八德店),eyew,2,['台式'],False,15.0,79.0,20.0,5.0,1.43063297639395,163
40,八方雲集 (左營華夏店),d2ej,2,"['台式', '餃子']",False,15.0,79.0,20.0,10.0,0.5985628799762495,1336
41,新上海臭臭鍋 (鼎力店),y1xc,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,1.8523781116606488,9314
42,回憶小時候古早味紅茶冰 (左營重愛店),ailq,1,['飲料'],False,15.0,79.0,15.0,5.0,0.17718949993571434,103
43,古咕叫土司 (高雄文藻店),e279,2,['台式'],False,15.0,79.0,20.0,5.0,1.8210939297618813,835
44,法貝客可莉餅 (左營重立店),lnsg,1,['甜點'],False,15.0,79.0,20.0,5.0,1.047803424840754,186
45,天使雞排 (高雄瑞豐店),ozkh,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,5.0,2.7051001650561184,730
46,Louisa 路易莎 (高雄重愛店),pz50,2,"['咖啡', '蛋糕', '歐美']",False,15.0,79.0,15.0,5.0,0.1627465617418211,776
47,3Q脆皮雞排 (高雄三民店),n0ri,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,1.549587334314767,1714
48,水巷茶弄 (左營富國店),z0mq,2,['飲料'],False,15.0,79.0,20.0,5.0,2.107351346984013,3590
49,玖玖迷你土雞鍋 (高雄左營華夏店),eqj5,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,1.8119733910837925,418
50,肯德基KFC炸雞漢堡店 (高雄崇德店),a8tv,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,20.0,5.0,1.688275692040795,2852
51,春陽茶事 (高雄鼎中店),x1tr,2,['飲料'],False,15.0,79.0,20.0,5.0,1.688152941038737,1604
52,捌捌迷你土雞鍋 (三民鼎中店),e2ft,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,2.189857553018909,2741
53,美之鄉台灣小吃,e9nz,2,"['湯品', '麵食', '台式']",False,15.0,79.0,25.0,10.0,2.156491416980408,702
54,拉麵亭,y5bd,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,1.7455773904813514,2562
55,夯仔內麵食館,e9jk,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.9822636686979145,2660
56,水雲朵DrinkStore (鼓山瑞豐店),uej4,2,['飲料'],False,15.0,79.0,20.0,5.0,2.6630199622373105,67
57,大華牛排 (高雄左營店),wgu2,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,1.9711077809135642,91
58,燈塔美式酒館,lq65,3,"['披薩', '漢堡', '歐美', '麵食']",False,15.0,79.0,45.0,30.0,2.3538179146355858,9
59,吃飯店料理亭,fupo,3,"['湯品', '台式']",False,15.0,79.0,40.0,20.0,3.2649981060816975,3
60,港式聞雞起爐 (高雄左營店),v64g,3,"['火鍋', '港式']",False,15.0,79.0,30.0,15.0,2.367451811691171,0
61,阿大土司 (高雄鼎中總店),b3aa,2,['台式'],False,15.0,79.0,20.0,5.0,2.0981210817947678,6031
62,阿智喝茶 (高雄重愛店),a3if,1,['飲料'],True,15.0,79.0,15.0,5.0,0.22713150907578464,1411
63,大姐頭麵館 (左營富民店),nkd1,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.830837545854843,2464
