,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,鮮自然 (麻豆興中店),j6jk,2,['飲料'],False,19.0,79.0,20.0,10.0,4.138547282718297,875
1,三媽臭臭鍋 (台南麻豆店),i1io,2,"['火鍋', '台式']",False,19.0,79.0,30.0,15.0,4.535955938135169,1346
2,滿茶Montea (台南麻豆店),ocf7,1,['飲料'],False,19.0,79.0,20.0,5.0,4.239597250892403,119
3,麥當勞 (S260 台南麻豆店),jrp0,2,"['漢堡', '歐美']",False,19.0,79.0,25.0,10.0,4.54392327385324,4032
4,自在軒 (台南麻豆店),jrou,1,['台式'],False,19.0,79.0,20.0,5.0,4.448676900560376,182
5,第1佳香雞排,t637,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,5.0,4.116401758312027,346
6,九湯屋日式拉麵 (台南麻豆店),x9kr,2,"['麵食', '日式']",False,19.0,79.0,20.0,5.0,4.290590410639523,762
7,白巷子 (麻豆民權店),snac,1,['飲料'],False,19.0,79.0,20.0,5.0,4.285171363317713,728
8,饕神廣東粥 (台南麻豆店),m8zn,2,"['中式', '粥']",False,19.0,79.0,20.0,5.0,4.097853421425498,134
9,迷客夏 Milksha (臺南麻豆店),ghvf,2,['飲料'],False,19.0,79.0,20.0,10.0,4.062554157409626,343
10,Tea's原味 (麻豆中山店),c3yk,2,['飲料'],False,19.0,79.0,20.0,5.0,4.543660581935143,763
11,興隆肉燥飯 (台南麻豆店),t4q1,2,"['湯品', '台式', '餃子']",False,19.0,79.0,20.0,5.0,4.073802883124444,108
12,滿溢火鍋專賣店,qvl7,2,"['火鍋', '台式']",False,19.0,79.0,35.0,20.0,4.459123742726317,597
13,清原芋圓 (台南麻豆店),qyfw,1,['甜點'],False,19.0,79.0,25.0,10.0,4.069647063994844,469
14,達美樂 (麻豆興南店),miym,3,"['披薩', '歐美']",False,30.0,199.0,25.0,15.0,4.1813452849319654,29
15,紅茶洋行 (台南麻豆店),l1sd,1,['飲料'],False,19.0,79.0,20.0,5.0,4.466262376845086,546
16,徠益隆小籠湯餃 (台南麻豆店),m7pt,2,"['中式', '湯品', '餃子']",False,19.0,79.0,25.0,10.0,4.08160287833463,1052
17,非港式熊貓燒賣 (台南麻豆店),orar,1,['小吃'],False,19.0,79.0,30.0,15.0,4.1506995129670825,57
18,甘乃滴冷泡飲 (台南麻豆店),v6ia,2,['飲料'],False,19.0,79.0,20.0,5.0,4.39477500730364,245
19,好手沏紅茶冰 (台南麻豆店),h3zq,2,['飲料'],False,19.0,79.0,20.0,5.0,4.514195420695392,339
20,黃金比綠茶飲專賣店 (台南麻豆店),h4cx,1,['飲料'],False,19.0,79.0,20.0,5.0,4.127161664235728,326
21,米里mini (台南麻豆店),p7na,2,['飲料'],False,19.0,79.0,20.0,5.0,4.179044602293308,1181
22,壽喜屋餐館,hc8m,2,"['便當', '麵食', '咖哩', '日式']",False,19.0,79.0,40.0,15.0,3.6443756110410384,67
23,早安美芝城 (麻豆活力總爺店),tamv,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,3.416063040417775,259
24,宜華蛋餅 (麻豆興中店),y49o,1,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.041930782258032,98
25,晨間廚房 (麻豆興中店),k32v,2,"['早餐', '歐美']",True,19.0,79.0,40.0,15.0,4.056500489798527,1620
26,普菈手作熱壓吐司,l0ym,1,"['歐美', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,4.176503943070047,204
27,小日子手工蛋餅,m1tp,2,"['早餐', '台式']",False,19.0,79.0,40.0,15.0,4.410535639344145,828
28,古早味油飯 (台南麻豆店),e02l,1,"['湯品', '小吃']",False,19.0,79.0,40.0,15.0,4.198923235069343,193
29,Louisa 路易莎 (台南麻豆店),jy2b,2,"['咖啡', '蛋糕', '歐美']",False,19.0,79.0,40.0,15.0,4.564851612677641,1244
30,阿鳳越南美食,tuj0,2,"['麵食', '東南亞']",False,19.0,79.0,40.0,15.0,4.117198151528746,4
31,喜得炭火燒三明治 (台南麻豆店),y14f,1,"['台式', '三明治 / 吐司']",False,19.0,79.0,40.0,15.0,4.645366217546583,643
32,森嵐茶韻 (台南麻豆店),oz86,2,['飲料'],False,19.0,79.0,40.0,15.0,3.6788461280077254,79
33,韓屋村韓式海苔飯卷,uv1p,1,['韓式'],False,19.0,79.0,40.0,15.0,4.34026042430082,378
34,鴨董當歸鴨｜招牌鴨肉飯｜(麻豆博愛店),beu0,2,"['湯品', '便當', '台式']",False,19.0,79.0,40.0,15.0,4.156650136321928,618
35,可不可熟成紅茶 (麻豆中山店),as9y,1,['飲料'],False,19.0,79.0,40.0,15.0,4.402015043841393,493
36,陳家廣東腸粉,whtf,2,"['湯品', '港式']",False,19.0,79.0,40.0,15.0,4.29920963736699,59
37,小仁泉極品豆漿 (台南麻豆店),n3nb,2,['甜點'],False,19.0,79.0,40.0,15.0,4.339087273020133,44
38,八方雲集 (台南麻豆店),chdn,2,"['台式', '餃子']",False,19.0,79.0,40.0,15.0,3.822093743514032,270
39,Hido•喜豆。咖哩&丼飯,r5hh,2,"['湯品', '咖哩', '日式']",False,19.0,79.0,40.0,15.0,4.312601282350139,1082
40,翔美雪花冰｜鍋燒意麵｜麻豆美食 ｜ 30年老店,m3oc,2,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,4.306940272573703,523
41,山豬炒飯·炒泡麵料理職人,ygg9,2,"['湯品', '台式']",False,19.0,79.0,40.0,15.0,4.294848185015794,413
42,Serious Cafe 西瑞司新美式餐飲,l1bh,2,"['咖啡', '歐美']",False,19.0,79.0,40.0,15.0,4.037547431004866,337
43,夏立克綠豆沙專門店 (麻豆興民店),ooxe,1,['飲料'],False,19.0,79.0,40.0,15.0,4.466881326756618,188
