,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,Pizza Hut必勝客 (台南新營店),e0bq,2,"['披薩', '歐美']",False,19.0,79.0,15.0,5.0,0.8581447527908413,2591
1,麥當勞 (S154 台南新營店),p2su,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,1.0943994630599272,10026
2,早到晚到 (台南新營店),ca72,2,"['麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,10.0,5.0,0.44128920914298986,81
3,狀元廣東粥 (新營復興店),e2os,1,"['中式', '粥']",False,19.0,79.0,10.0,5.0,0.3730314497245966,1414
4,來碗拉麵 (新營二店),fkuf,2,"['麵食', '日式']",False,19.0,79.0,10.0,5.0,0.3298498312418194,231
5,好津味羊肉店,imnn,2,"['湯品', '麵食', '台式']",False,19.0,79.0,10.0,5.0,0.30526860191653804,20
6,麻古茶坊 (台南新營店),rmvq,2,['飲料'],False,19.0,79.0,10.0,5.0,0.5754035734776679,548
7,21PLUS、21風味館 (新營三民門市),qczu,3,"['歐美', '炸雞']",False,19.0,79.0,10.0,5.0,0.770508156784442,61
8,金茶伍手作茶飲 (台南新營店),j8uj,2,['飲料'],False,19.0,79.0,10.0,5.0,0.3654743499896487,1396
9,鮮茶道 (新營民治店),foh5,2,['飲料'],False,19.0,79.0,10.0,5.0,0.3508035044392952,594
10,老李米糕,ewjl,2,['台式'],False,19.0,79.0,10.0,5.0,0.4960556970894233,217
11,首都碳烤,jqpg,2,['小吃'],False,19.0,79.0,15.0,5.0,0.6460426881875024,605
12,日船章魚小丸子 (台南新營店),e0mx,1,['日式'],False,19.0,79.0,10.0,5.0,0.7436003340039875,894
13,85度C (台南新營店),ki23,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,10.0,5.0,0.650234684807267,133
14,品味宵夜,vd0n,2,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.40323955207098666,269
15,胖老爹美式炸雞 (台南新營店),e9ke,2,"['歐美', '炸雞']",False,19.0,79.0,20.0,15.0,0.5537317344156588,1573
16,三媽臭臭鍋 (新營中正店),i3ii,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,1.3002600895638021,1961
17,上榮新疆烤肉 (台南新營店),efli,2,['小吃'],False,19.0,79.0,15.0,10.0,0.3068669206922688,18
18,川醉湘 (台南新營店),ipt9,2,['中式'],False,19.0,79.0,10.0,5.0,0.3537060130124442,61
19,八方雲集 (台南新營店),f9ms,2,"['台式', '餃子']",False,19.0,79.0,15.0,5.0,1.0492202865410374,729
20,肯得福香雞排,jprl,2,"['小吃', '炸雞']",False,19.0,79.0,10.0,5.0,0.5441594739657101,101
21,迷客夏 Milksha (臺南新營店),e8ww,2,['飲料'],True,19.0,79.0,15.0,5.0,0.9925688569000973,1872
22,金虎麵食館,v2l5,2,"['湯品', '麵食', '台式']",False,19.0,79.0,15.0,5.0,0.6386308150325992,103
23,紅麥田優質原味炸雞 (台南新營店),pboo,2,"['小吃', '炸雞']",False,19.0,79.0,10.0,5.0,0.38368065974877663,87
24,藝鍋物 (台南新營店),sqoz,2,"['火鍋', '台式']",False,19.0,79.0,30.0,20.0,1.2585543576777363,1020
25,來雞特香雞排,d46w,2,"['小吃', '炸雞']",False,19.0,79.0,15.0,10.0,1.4214222258976863,168
26,吳家紅茶冰 (新營復興店),e1tl,1,['飲料'],False,19.0,79.0,10.0,5.0,0.4867262664819688,1031
27,炒血快炒店(復興店),qsyb,2,"['湯品', '台式']",False,19.0,79.0,10.0,5.0,0.2498760832295319,21
28,麻吉鹹水雞&麻辣雞,e1jk,2,['小吃'],False,19.0,79.0,10.0,5.0,0.6005341771306166,958
29,TEAS原味 (新營三民店),e8li,1,['飲料'],False,19.0,79.0,10.0,5.0,0.31760916204545736,468
30,港式炒食,lckt,2,['港式'],False,19.0,79.0,15.0,10.0,0.7072744291130134,38
31,滿茶Montea (台南新營店),e3lb,1,['飲料'],False,19.0,79.0,10.0,5.0,0.6925482658816517,1573
32,甘單冰菓,f1at,1,['甜點'],False,19.0,79.0,10.0,5.0,0.5200403214053279,748
33,龍鳳東大門韓國料理,f5xb,2,['韓式'],False,19.0,79.0,15.0,10.0,1.1130534042199505,829
34,一芳水果茶 (台南新營復興店),a6mf,2,['飲料'],True,19.0,79.0,10.0,5.0,0.6201826509956477,1227
35,茶湯會 (新營復興店),e6jh,2,['飲料'],True,19.0,79.0,10.0,5.0,0.7277583200081248,1164
36,兩披索靓鍋 (台南新營店),goyp,2,"['火鍋', '台式']",False,19.0,79.0,10.0,10.0,0.20023417265334006,413
37,上海香酥雞(新營店),i8nt,2,"['小吃', '炸雞']",False,19.0,79.0,10.0,5.0,0.4055257573881386,423
38,就是鬆餅 (新營總店),e8rv,1,['甜點'],False,19.0,79.0,15.0,5.0,0.6373517071035071,644
39,小府城,ez5u,2,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,1.3678185806123873,1065
40,潮味決．湯滷專門店 (台南新營分社),c6ns,2,['台式'],False,19.0,79.0,15.0,5.0,2.1602524716401055,67
41,ㄚ桂美食,e2wq,1,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.7033505049971869,1511
42,三商巧福 (4432新營二店),v3zt,2,"['麵食', '台式']",False,19.0,79.0,25.0,15.0,1.6408941319761916,1455
43,九星級平價鍋物,lr4y,2,"['火鍋', '台式']",False,19.0,79.0,20.0,15.0,0.5135035027939961,57
44,新營豆花,iocq,1,['甜點'],False,19.0,79.0,15.0,10.0,0.722312633445234,132
45,妙香茶飲,ohv0,1,['飲料'],False,19.0,79.0,10.0,5.0,0.7408588667310678,5
46,拿坡里 (新營店8413),slvt,3,"['披薩', '歐美', '炸雞']",False,19.0,79.0,20.0,10.0,1.2966896150897549,749
47,十九甲雞排 (新營東興店),t8j7,2,"['小吃', '炸雞']",False,19.0,79.0,20.0,10.0,1.9063344614259397,66
48,麥當勞 (S154 台南新營店),p2su,2,"['漢堡', '歐美']",False,19.0,79.0,15.0,10.0,1.0943994630599272,10026
49,早到晚到 (台南新營店),ca72,2,"['麵食', '台式', '三明治 / 吐司']",False,19.0,79.0,10.0,5.0,0.44128920914298986,81
50,狀元廣東粥 (新營復興店),e2os,1,"['中式', '粥']",False,19.0,79.0,10.0,5.0,0.3730314497245966,1414
51,來碗拉麵 (新營二店),fkuf,2,"['麵食', '日式']",False,19.0,79.0,10.0,5.0,0.3298498312418194,231
52,好津味羊肉店,imnn,2,"['湯品', '麵食', '台式']",False,19.0,79.0,10.0,5.0,0.30526860191653804,20
53,麻古茶坊 (台南新營店),rmvq,2,['飲料'],False,19.0,79.0,10.0,5.0,0.5754035734776679,548
54,21PLUS、21風味館 (新營三民門市),qczu,3,"['歐美', '炸雞']",False,19.0,79.0,10.0,5.0,0.770508156784442,61
55,金茶伍手作茶飲 (台南新營店),j8uj,2,['飲料'],False,19.0,79.0,10.0,5.0,0.3654743499896487,1396
56,鮮茶道 (新營民治店),foh5,2,['飲料'],False,19.0,79.0,10.0,5.0,0.3508035044392952,594
57,老李米糕,ewjl,2,['台式'],False,19.0,79.0,10.0,5.0,0.4960556970894233,217
58,首都碳烤,jqpg,2,['小吃'],False,19.0,79.0,15.0,5.0,0.6460426881875024,605
59,日船章魚小丸子 (台南新營店),e0mx,1,['日式'],False,19.0,79.0,10.0,5.0,0.7436003340039875,894
60,85度C (台南新營店),ki23,2,"['甜點', '咖啡', '蛋糕']",False,19.0,79.0,10.0,5.0,0.650234684807267,133
61,品味宵夜,vd0n,2,"['麵食', '台式']",False,19.0,79.0,20.0,15.0,0.40323955207098666,269
62,胖老爹美式炸雞 (台南新營店),e9ke,2,"['歐美', '炸雞']",False,19.0,79.0,20.0,15.0,0.5537317344156588,1573
63,三媽臭臭鍋 (新營中正店),i3ii,2,"['火鍋', '台式']",False,19.0,79.0,25.0,15.0,1.3002600895638021,1961
