,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,鍋底撈滷味 (高雄林園店),f0pu,2,['小吃'],False,9.0,79.0,20.0,5.0,3.701546718901782,1775
1,勁有味碳烤,bzwe,2,['小吃'],False,9.0,79.0,20.0,5.0,3.8602404569988717,116
2,麥當勞 (S255 高雄林園店),v3os,2,"['漢堡', '歐美']",False,9.0,79.0,25.0,10.0,4.090410888448348,7050
3,微笑檸檬雞排,s2jx,2,"['小吃', '炸雞']",False,9.0,79.0,20.0,5.0,3.8785217813386166,1153
4,蒙特婁專業牛排 (林園文化店),f9it,2,"['台式', '牛排']",False,9.0,79.0,25.0,10.0,3.8814011645091053,855
5,逸竹軒廣東粥 (高雄林園店),n2gk,2,"['中式', '粥']",False,9.0,79.0,25.0,10.0,3.9599710663115584,1859
6,山東麵館林園 (小胖),t2ki,2,"['中式', '湯品', '麵食']",False,9.0,79.0,20.0,5.0,3.8876566526340133,911
7,三分春色 (林園東林西路店),f1kw,2,['飲料'],False,9.0,79.0,20.0,10.0,3.6544947308532114,3430
8,劉家食堂,f7tv,1,"['湯品', '麵食', '台式']",False,9.0,79.0,20.0,5.0,3.286603818976993,1050
9,胖老爹美式炸雞 (高雄林園店),f2aq,2,"['歐美', '炸雞']",False,9.0,79.0,25.0,10.0,3.8780193086745287,1346
10,重雞來了碳烤雞排 (高雄林園店),fc31,2,['小吃'],False,9.0,79.0,25.0,10.0,3.407797403658013,91
11,海景競技休閒館,zivf,2,['台式'],False,15.0,79.0,20.0,5.0,2.928493933109239,76
12,迷客夏 Milksha (高雄林園店),vwlp,2,['飲料'],False,9.0,79.0,20.0,5.0,3.781693932264893,284
13,可不可熟成紅茶 (高雄林園店),hdsg,1,['飲料'],False,9.0,79.0,20.0,5.0,3.8498645849609736,1838
14,麻古茶坊 (高雄林園北店),iube,2,['飲料'],False,9.0,79.0,20.0,5.0,3.864800946605532,606
15,韓咚嘻韓式炸雞小吃 (高雄林園店),pb2d,2,"['韓式', '炸雞']",False,15.0,79.0,20.0,5.0,3.959904037094718,64
16,饗吃丼 (高雄林園店),nfid,2,"['麵食', '日式']",False,9.0,79.0,20.0,5.0,4.270225651208425,588
17,鮮茶道 (林園東林店),f3od,1,['飲料'],False,9.0,79.0,20.0,5.0,4.109691932264557,893
18,水巷茶弄 (高雄林園店),f6ev,2,['飲料'],False,9.0,79.0,20.0,5.0,3.727039375319715,746
19,林家滷味,m4hb,2,['小吃'],False,9.0,79.0,25.0,10.0,4.001457934520843,1334
