,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,好食丼 (高雄興中店),n445,2,['日式'],False,15.0,79.0,20.0,5.0,2.667993170808385,462
1,捌捌迷你土雞鍋 (高雄成功店),r8bb,2,"['火鍋', '台式']",False,15.0,79.0,35.0,20.0,1.3422634059602678,1020
2,巧味北平烤鴨專賣店,x2oo,2,['中式'],False,15.0,79.0,20.0,5.0,1.9935959265836625,4613
3,鶴茶樓 (三民十全店),t209,1,['飲料'],False,15.0,79.0,25.0,5.0,3.394458516193571,2651
4,三十年老店雞肉飯,e0se,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,1.3590742833279978,1706
5,王記牛肉麵,y6vy,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,2.2052451212463526,3295
6,肯德基KFC炸雞漢堡店 (高雄站前店),y8dj,2,"['甜點', '漢堡', '歐美', '炸雞']",False,15.0,79.0,20.0,5.0,2.4708675813340513,2931
7,十九甲雞排 (高雄雄女店),hdcp,2,"['小吃', '炸雞']",False,15.0,79.0,20.0,10.0,0.7057620443991339,228
8,蝌蚪大廟口塩水雞 (苓雅自強店),k4qt,2,['小吃'],False,15.0,79.0,20.0,5.0,1.4901873526148348,349
9,大豪牛排 (高雄熱河店),z7jm,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,3.1874709919133917,4869
10,阿文壽司,euci,2,['日式'],False,15.0,79.0,40.0,25.0,1.3625951200891633,20
11,紐西蘭牛排,r9sq,2,"['歐美', '牛排']",False,15.0,79.0,20.0,5.0,2.048287954424374,6
12,蝦桶 Shrimp Master,vg87,3,['歐美'],False,15.0,79.0,25.0,10.0,1.3149621711024295,4
13,老江紅茶牛奶 (高雄大連店),ekpi,2,"['台式', '三明治 / 吐司']",False,15.0,79.0,30.0,15.0,3.2795483601670243,1
14,早到晚到 (高雄五福店),ied0,2,['台式'],False,15.0,79.0,15.0,5.0,0.3653670428284464,105
15,紅鼻子豬腳 (高雄青年店),r9sp,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,1.6543859013722075,1478
16,穩記港式點心 (高雄瑞源店),f4he,3,"['湯品', '港式', '粥']",True,15.0,79.0,25.0,15.0,1.5849487847856067,1011
17,阿囉哈滷味,d0wr,2,['小吃'],False,15.0,79.0,15.0,5.0,0.5874812566758786,1201
18,三民街老周冷熱飲,zy6r,2,['甜點'],False,15.0,79.0,20.0,5.0,1.7879998759807407,137
19,金漢城韓國料理,f5xs,2,"['韓式', '湯品', '麵食']",True,15.0,79.0,20.0,5.0,1.4675346942106666,837
20,冒煙的喬 (高雄五福店),a3ei,3,"['歐美', '麵食']",False,15.0,79.0,20.0,10.0,0.12887711259815576,339
21,阿智喝茶 (高雄三民街創始老店),b3lr,1,['飲料'],True,15.0,79.0,20.0,5.0,1.7000332387515806,966
22,田記豆漿 (鹽埕總店),u3hv,2,['小吃'],True,15.0,79.0,15.0,10.0,0.24160038738733147,407
23,王哥陽春麵傳奇,g0xw,2,"['麵食', '台式']",False,15.0,79.0,30.0,15.0,1.4410853000769976,560
24,小雅 芋頭西米露專賣店,j7dh,2,['甜點'],False,15.0,79.0,25.0,5.0,3.407021187062226,821
25,津屋日式海鮮碳烤,tzz7,3,['日式'],False,15.0,79.0,15.0,5.0,0.9261814308562636,8
26,雞伯燒酒雞,rvny,3,"['湯品', '台式']",False,15.0,79.0,20.0,5.0,2.0671609223205376,23
27,億品鍋 (高雄七賢店),iieg,2,"['火鍋', '台式']",False,15.0,79.0,30.0,20.0,1.8512118236143449,262
28,雞動組鹹酥雞,slnk,2,"['小吃', '炸雞']",False,15.0,79.0,30.0,15.0,2.9239917247146106,266
29,肉肉先生,m88x,3,"['歐美', '牛排']",False,15.0,79.0,25.0,10.0,2.7642353492247396,36
30,雞老二,l5bx,3,"['湯品', '台式']",False,15.0,79.0,40.0,30.0,1.3445137902406872,18
31,福泉雪花冰布丁豆花 (鼓山西子灣店),z75c,2,['甜點'],False,15.0,79.0,30.0,20.0,1.4727419048378163,8
32,饈饈火鍋,d215,2,"['火鍋', '台式']",False,15.0,79.0,35.0,15.0,2.844835660047378,16
33,夏好夏滿-台式小火鍋,hh5g,2,"['火鍋', '台式']",False,15.0,79.0,25.0,10.0,1.9843573103981789,13
34,235巷義大利麵 (高雄新光店),e4ek,2,"['歐美', '麵食']",False,15.0,79.0,20.0,5.0,2.497253308753691,7853
35,Big mama義大利麵餐廳,dhhk,2,"['咖啡', '歐美']",False,15.0,79.0,15.0,5.0,0.27537741927294135,220
36,正義蚵仔麵線 (高雄苓雅店),ruo8,2,"['麵食', '小吃']",False,15.0,79.0,20.0,5.0,1.4771720291562473,970
37,淘來食作,vx8b,2,['台式'],False,15.0,79.0,20.0,10.0,0.5269512693348017,100
38,極品豚骨拉麵總店,r0hr,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,1.905295959309366,384
39,牛小弟牛排 (高雄忠孝店),ry0c,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,2.3228631771740216,629
40,肉粽泰Tai,v1oo,2,['小吃'],False,15.0,79.0,15.0,5.0,1.1189878522535077,1746
41,包手 (前金中華店),l32h,1,['台式'],False,15.0,79.0,20.0,10.0,1.4609381339872076,338
42,咕嚕咕嚕家うちりょうり (漢神成功總店),agor,3,['日式'],False,15.0,79.0,20.0,10.0,1.1695588213720038,205
43,原龍羊肉火鍋 (高雄一心總店),zur9,2,"['湯品', '火鍋', '台式']",False,15.0,79.0,30.0,15.0,2.707161433161891,327
44,洪記蒸餃 (高雄忠孝店),d1z5,2,"['湯品', '台式']",False,15.0,79.0,35.0,20.0,2.336316968172141,245
45,威廉泰爾義式鄉村料理餐坊,a8vf,3,"['歐美', '麵食']",False,15.0,79.0,25.0,10.0,2.462067793196954,941
46,合羽亭,a889,2,['日式'],False,15.0,79.0,20.0,10.0,0.3264939971309648,21
