,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum
0,水巷茶弄 (左營華夏店),z6ll,2,['飲料'],True,15.0,79.0,25.0,5.0,3.4769098423468243,3921
1,康青龍 (高雄明誠店),y2oa,2,['飲料'],False,15.0,79.0,15.0,5.0,0.7588892143290785,2318
2,水巷茶弄 (左營富國店),z0mq,2,['飲料'],False,15.0,79.0,20.0,5.0,1.6565102381082077,3590
3,野村日式燒肉 (明誠店),tfun,2,['日式'],False,15.0,79.0,20.0,10.0,0.7386518956456289,101
4,玖玖迷你土雞鍋 (高雄左營華夏店),eqj5,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,2.4464747638816227,418
5,春陽茶事 (高雄鼎中店),x1tr,2,['飲料'],False,15.0,79.0,20.0,5.0,2.7499425838881852,1604
6,巧味北平烤鴨專賣店,x2oo,2,['中式'],False,15.0,79.0,20.0,5.0,2.141014778800308,4613
7,美之鄉台灣小吃,e9nz,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,10.0,1.608932601580111,702
8,玖玖迷你土雞鍋 (高雄自立店),u0zb,2,"['火鍋', '台式']",False,15.0,79.0,30.0,15.0,2.1517676459740076,1051
9,拉麵亭,y5bd,2,"['麵食', '日式']",False,15.0,79.0,20.0,5.0,2.1239712701437896,2562
10,大華牛排 (高雄左營店),wgu2,2,"['台式', '牛排']",False,15.0,79.0,20.0,5.0,1.8199845155332361,91
11,紐西蘭牛排,r9sq,2,"['歐美', '牛排']",False,15.0,79.0,20.0,5.0,2.4952039147314795,6
12,老江紅茶牛奶 (高雄大連店),ekpi,2,"['台式', '三明治 / 吐司']",False,15.0,79.0,25.0,15.0,1.381119017867925,1
13,燈塔美式酒館,lq65,3,"['披薩', '漢堡', '歐美', '麵食']",False,15.0,79.0,45.0,30.0,1.4245736082226896,9
14,吃飯店料理亭,fupo,3,"['湯品', '台式']",False,15.0,79.0,35.0,20.0,2.7433381305901405,3
15,港式聞雞起爐 (高雄左營店),v64g,3,"['火鍋', '港式']",False,15.0,79.0,30.0,15.0,1.4592506395554974,0
16,大姐頭麵館 (左營富民店),nkd1,2,"['湯品', '麵食', '台式']",False,15.0,79.0,20.0,5.0,1.0002837292956572,2464
17,阿大土司 (高雄鼎中總店),b3aa,2,['台式'],False,15.0,79.0,20.0,5.0,2.47791449651821,6031
18,紅鼻子豬腳 (高雄十全店),wbhz,2,"['湯品', '便當', '台式']",False,15.0,79.0,20.0,5.0,1.9352964429276742,1786
19,小雅 芋頭西米露專賣店,j7dh,2,['甜點'],False,15.0,79.0,20.0,5.0,1.6395168018833859,821
20,禾町無煙炭火燒肉,bkll,2,['日式'],False,15.0,79.0,25.0,10.0,1.6997466723066417,632
